"fighter1_odds","fighter2_odds"
"2.35","1.71"
"2.15","1.81"
"1.57","2.65"
"1.83","2.10"
"1.57","2.65"
"1.68","2.40"
"1.71","2.40"
"4.30","1.27"
"1.88","2.10"
"1.91","2.15"
"2.30","1.73"
"3.40","1.40"
"1.65","2.45"
"2.25","1.76"
"2.60","1.65"
"2.38","1.74"
"1.74","2.25"
"1.45","3.10"
"1.87","2.05"
"1.72","2.06"
"1.75","2.06"
"1.23","4.41"
"2.28","1.70"
"2.43","1.59"
"1.63","2.31"
"2.01","1.78"
"1.61","2.36"
"2.31","1.63"
"1.61","2.36"
"1.69","2.16"
"1.84","1.92"
"2.69","1.57"
"1.32","3.80"
"1.91","2.05"
"1.33","3.75"
"1.51","2.80"
"1.19","5.50"
"3.75","1.33"
"1.34","3.70"
"1.74","2.30"
"1.28","4.50"
"2.05","2.00"
"1.65","2.50"
"2.15","1.83"
"2.38","1.71"
"1.20","5.37"
"1.50","3.01"
"1.26","4.55"
"1.79","2.20"
"1.18","6.05"
"1.34","3.75"
"2.62","1.59"
"1.34","3.85"
"1.91","2.00"
"1.90","2.10"
"2.10","1.91"
"2.50","1.62"
"1.20","5.50"
"4.20","1.29"
"4.20","1.29"
"1.37","3.50"
"2.75","1.44"
"1.62","2.62"
"3.50","1.35"
"2.33","1.71"
"1.30","4.35"
"1.49","4.35"
"2.10","1.85"
"1.77","2.25"
"1.65","2.45"
"1.16","6.53"
"2.20","1.80"
"2.30","1.74"
"1.79","2.23"
"1.77","2.20"
"4.15","1.29"
"1.70","2.36"
"1.68","2.50"
"2.05","1.94"
"1.56","2.75"
"2.61","1.67"
"1.50","3.10"
"1.57","2.90"
"3.25","1.41"
"2.05","1.90"
"3.63","1.36"
"2.25","1.76"
"1.35","3.80"
"1.73","2.23"
"2.16","1.69"
"1.19","6.07"
"1.58","2.65"
"2.71","1.59"
"2.18","1.79"
"1.50","2.91"
"1.73","2.36"
"1.33","3.70"
"2.10","1.83"
"1.87","2.05"
"1.39","3.70"
"2.20","1.77"
"1.46","3.00"
"1.25","4.80"
"1.36","3.70"
"3.00","1.50"
"2.01","1.91"
"3.35","1.40"
"3.00","1.50"
"2.30","1.73"
"5.20","1.22"
"1.14","8.60"
"1.91","2.13"
"1.39","3.40"
"1.61","2.60"
"2.39","1.67"
"1.11","8.75"
"4.15","1.31"
"1.29","4.40"
"1.57","2.75"
"1.73","2.30"
"3.90","1.31"
"5.50","1.25"
"2.55","1.65"
"1.19","6.40"
"4.40","1.26"
"1.65","2.45"
"1.24","4.80"
"2.66","1.57"
"2.20","1.80"
"1.83","2.10"
"1.83","2.30"
"1.39","3.60"
"1.94","1.98"
"1.37","3.55"
"1.33","3.85"
"1.74","2.25"
"1.74","2.25"
"1.57","2.80"
"2.10","1.87"
"1.87","2.20"
"2.40","1.67"
"2.15","1.87"
"1.95","2.05"
"1.95","2.00"
"1.27","4.55"
"2.36","1.73"
"1.77","2.30"
"4.50","1.26"
"1.35","3.70"
"1.25","5.00"
"2.02","2.00"
"1.45","3.20"
"4.25","1.28"
"1.65","2.45"
"1.14","7.62"
"2.60","1.65"
"1.65","2.50"
"1.80","2.20"
"1.35","3.95"
"1.36","3.80"
"1.71","2.30"
"1.34","3.60"
"1.65","2.47"
"1.40","3.30"
"2.25","1.75"
"2.90","1.45"
"3.65","1.40"
"2.50","1.87"
"1.31","3.90"
"1.67","2.45"
"1.41","3.25"
"2.30","1.71"
"2.25","1.74"
"1.39","3.50"
"1.36","3.90"
"1.53","2.85"
"2.30","1.74"
"1.21","5.45"
"2.05","1.91"
"1.62","2.50"
"1.62","2.70"
"1.33","4.00"
"1.62","2.65"
"1.19","5.50"
"3.09","1.45"
"3.60","1.34"
"3.12","1.46"
"3.80","1.34"
"3.70","1.33"
"1.34","3.65"
"5.35","1.21"
"1.24","4.75"
"2.06","1.87"
"3.45","1.38"
"1.81","2.15"
"2.20","1.80"
"1.71","2.37"
"2.30","1.74"
"1.33","4.00"
"1.37","3.75"
"2.40","1.71"
"4.15","1.30"
"4.28","1.30"
"1.54","3.05"
"1.28","4.50"
"1.71","2.35"
"1.83","2.25"
"1.62","2.60"
"1.71","2.35"
"1.67","2.60"
"1.45","3.20"
"1.40","3.55"
"1.94","2.05"
"2.85","1.50"
"1.30","4.10"
"1.25","4.80"
"2.60","1.61"
"1.25","4.65"
"4.00","1.33"
"2.10","1.91"
"2.30","1.74"
"inf","inf"
"1.14","7.00"
"1.48","2.93"
"1.36","3.55"
"6.50","1.17"
"2.48","1.67"
"2.20","1.78"
"3.25","1.43"
"1.42","3.50"
"1.59","2.60"
"2.65","1.57"
"1.62","2.60"
"1.21","5.90"
"2.52","1.65"
"2.65","1.57"
"1.61","2.60"
"4.00","1.30"
"2.75","1.54"
"inf","inf"
"1.29","4.10"
"1.53","2.85"
"2.48","1.73"
"2.88","1.50"
"1.66","2.45"
"1.53","2.75"
"1.65","2.60"
"2.05","1.87"
"1.57","2.65"
"1.42","3.20"
"1.43","3.20"
"1.49","2.95"
"1.44","3.15"
"1.30","4.55"
"1.36","3.90"
"2.10","1.85"
"1.71","2.30"
"3.50","1.36"
"1.43","3.35"
"1.50","2.85"
"3.35","1.40"
"3.90","1.31"
"1.41","3.37"
"2.25","1.80"
"1.25","4.55"
"1.18","6.10"
"1.61","2.65"
"2.15","1.83"
"1.62","2.75"
"1.29","4.48"
"2.25","1.74"
"1.91","2.05"
"1.49","2.90"
"1.38","3.40"
"1.40","3.65"
"2.89","1.50"
"2.85","1.50"
"5.50","1.19"
"1.20","5.50"
"5.15","1.22"
"2.40","1.80"
"1.27","4.75"
"1.14","7.00"
"1.29","4.75"
"1.95","2.00"
"2.85","1.52"
"1.50","2.90"
"1.71","2.30"
"1.23","4.90"
"1.38","3.48"
"inf","inf"
"1.56","2.70"
"2.50","1.67"
"1.26","4.55"
"2.15","1.80"
"1.83","2.20"
"3.20","1.42"
"1.91","2.05"
"1.40","3.40"
"1.11","10.00"
"1.41","3.25"
"2.95","1.50"
"2.95","1.47"
"2.45","1.65"
"2.45","1.67"
"2.75","1.59"
"1.94","2.00"
"1.20","5.80"
"1.59","2.60"
"1.69","2.35"
"1.21","5.20"
"2.35","1.69"
"2.75","1.53"
"2.00","1.95"
"4.33","1.29"
"2.62","1.61"
"2.50","1.67"
"1.34","3.80"
"1.45","3.30"
"1.39","3.50"
"2.10","2.00"
"1.53","2.75"
"1.20","7.00"
"1.57","2.65"
"inf","inf"
"2.50","1.62"
"2.40","1.69"
"inf","inf"
"1.29","4.10"
"1.90","2.10"
"2.75","1.57"
"1.95","2.06"
"1.29","4.15"
"4.17","1.32"
"1.30","4.15"
"1.95","2.05"
"1.35","3.60"
"3.50","1.37"
"1.95","2.10"
"1.49","2.95"
"1.61","2.60"
"1.43","3.20"
"1.57","2.70"
"3.60","1.42"
"1.33","3.85"
"2.30","1.83"
"1.50","2.85"
"1.77","2.25"
"1.41","3.60"
"1.17","6.40"
"1.39","3.55"
"1.24","5.05"
"1.59","2.60"
"2.20","1.80"
"1.62","2.65"
"4.15","1.29"
"2.45","1.65"
"3.53","1.38"
"1.22","5.50"
"2.17","1.80"
"1.77","2.30"
"1.54","2.85"
"2.38","1.73"
"1.68","2.45"
"1.33","3.75"
"3.00","1.49"
"1.71","2.40"
"2.25","2.25"
"3.16","1.45"
