"fighter1_odds","fighter2_odds"
"1.07","12.50"
"1.75","2.25"
"1.44","3.40"
"2.23","2.01"
"1.48","2.97"
"1.21","5.75"
"1.33","3.95"
"1.29","4.40"
"3.20","1.50"
"1.44","3.20"
"2.55","1.65"
"4.29","1.29"
"1.19","5.80"
"3.51","1.38"
"8.02","1.14"
"1.83","2.25"
"1.50","3.01"
"1.40","3.71"
"1.71","2.38"
"1.83","2.30"
"1.67","2.50"
"1.40","3.48"
"4.76","1.23"
"1.67","2.50"
"1.67","2.44"
"1.28","4.35"
"2.86","1.54"
"1.61","2.50"
"4.00","1.32"
"1.75","2.27"
"3.57","1.35"
"5.56","1.20"
"1.54","2.70"
"1.45","3.03"
"2.63","1.54"
"1.32","3.70"
"2.38","1.69"
"1.82","2.00"
"1.47","2.94"
"1.64","2.50"
"3.70","1.30"
"1.23","4.76"
"1.27","4.55"
"2.94","1.47"
"2.70","1.59"
"1.47","2.94"
"1.54","2.78"
"3.03","1.47"
"3.13","1.43"
"1.30","4.17"
"1.89","2.04"
"3.33","1.39"
"3.03","1.47"
"2.04","1.96"
"1.52","3.03"
"1.47","3.03"
"1.27","4.35"
"2.78","1.54"
"1.49","2.94"
"1.33","3.57"
"1.49","2.78"
"1.54","2.78"
"2.38","1.69"
"1.30","3.85"
"2.94","1.49"
"1.41","3.13"
"1.32","3.85"
"1.33","3.70"
"1.43","3.13"
"1.23","5.00"
"1.64","2.44"
"3.85","1.32"
"1.54","2.70"
"1.33","3.70"
"2.22","1.75"
"2.63","1.56"
"1.89","2.33"
"1.61","2.56"
"1.43","3.23"
"2.00","1.92"
"1.28","4.17"
"1.56","2.63"
"1.20","5.88"
"1.18","5.88"
"1.49","2.94"
"2.50","1.64"
"1.28","4.55"
"3.57","1.41"
"1.47","3.23"
"1.79","2.22"
"1.43","3.23"
"5.56","1.23"
"1.43","3.23"
"1.28","4.35"
"1.47","3.13"
"1.47","2.94"
"1.45","3.23"
"3.03","1.47"
"1.18","5.88"
"1.14","7.14"
"1.64","2.56"
"1.64","2.44"
"1.28","4.35"
"2.38","1.67"
"1.33","4.00"
"1.92","2.04"
"1.54","2.78"
"5.00","1.22"
"1.47","3.03"
"1.59","2.56"
"1.64","2.50"
"1.54","2.70"
"1.79","2.22"
"1.16","6.67"
"1.15","7.14"
"1.47","2.94"
"1.56","2.70"
"1.47","3.03"
"1.22","5.56"
"1.64","2.50"
"1.56","2.70"
"1.11","10.00"
"2.22","1.79"
"1.14","8.33"
"2.27","1.72"
"2.38","1.67"
"2.38","1.67"
"5.56","1.22"
"1.39","3.57"
"inf","inf"
"1.75","2.22"
"1.56","2.78"
"1.64","2.56"
"1.35","3.70"
"1.20","5.56"
"1.49","3.03"
"1.89","2.08"
"2.33","1.75"
"2.63","1.61"
"2.44","1.69"
"1.82","2.13"
"8.33","1.12"
"1.15","6.67"
"1.27","4.35"
"1.54","2.78"
"1.20","5.26"
"2.33","2.00"
"2.78","1.56"
"5.00","1.23"
"1.75","2.27"
"2.70","1.64"
"1.18","5.88"
"1.43","3.13"
"2.44","1.72"
"1.61","2.56"
"2.70","1.59"
"2.38","1.79"
"1.27","4.76"
"1.18","5.88"
"1.64","2.63"
"2.33","1.69"
"7.69","1.14"
"2.13","1.82"
"3.03","1.47"
"2.00","1.96"
"3.03","1.47"
"3.45","1.45"
"1.59","2.63"
"1.32","4.17"
"1.20","5.56"
"1.14","7.69"
"2.86","1.54"
"1.41","3.33"
"4.35","1.27"
"3.03","1.47"
"1.43","3.23"
"1.45","3.13"
"1.18","7.14"
"1.16","6.25"
"2.78","1.52"
"1.33","3.85"
"1.43","3.23"
"1.39","3.45"
"1.59","2.70"
"2.33","1.72"
"1.19","5.56"
"1.59","2.63"
"1.67","2.38"
"1.27","4.90"
"1.63","2.48"
"1.30","4.26"
"1.54","2.80"
"1.20","6.02"
"1.30","4.26"
"3.94","1.31"
"1.73","2.37"
"1.36","3.73"
"1.22","5.35"
"1.22","5.62"
"1.71","2.40"
"2.22","1.79"
"1.23","5.26"
"1.79","2.27"
"1.23","5.00"
"6.25","1.18"
"1.33","3.70"
"2.86","1.52"
"3.23","1.43"
"2.33","1.69"
"2.50","1.64"
"1.54","2.78"
"2.08","2.33"
"1.25","4.76"
"2.17","1.79"
"1.28","4.00"
"1.39","3.33"
"1.43","3.13"
"1.56","2.63"
"1.96","1.92"
"2.13","1.82"
"3.33","1.41"
"1.79","2.17"
"1.49","2.94"
"2.27","1.75"
"2.86","1.52"
"1.18","7.14"
"2.22","1.89"
"1.82","2.13"
"5.00","1.27"
"1.79","2.13"
"1.69","2.33"
"3.03","1.56"
"2.70","1.59"
"1.52","2.86"
"1.64","2.50"
"1.08","12.50"
"1.69","2.33"
"1.82","2.13"
"2.63","1.61"
"2.08","1.85"
"1.28","4.35"
"4.17","1.28"
"1.64","2.56"
"1.67","2.44"
"5.00","1.23"
"1.14","7.69"
"1.43","3.33"
"1.69","2.33"
"2.50","1.67"
"1.23","4.76"
"1.49","3.03"
"1.52","2.86"
"1.27","4.55"
"1.30","4.35"
"1.45","3.23"
"2.50","1.67"
"1.39","3.45"
"3.13","1.45"
"1.79","2.33"
"1.72","2.33"
"1.59","2.70"
"1.35","3.57"
"1.92","2.04"
"1.27","4.35"
"2.70","1.56"
"1.92","2.00"
"3.13","1.45"
"1.85","2.08"
"1.54","2.78"
"1.25","5.26"
"1.18","5.88"
"2.38","1.75"
