"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Dan Bobish",345,"heavyweight",77,2.06,1.74,0.44,0.34,2.44,0.42,0,1.6
"Mark Bocek",155,"lightweight",75,2.34,2.32,0.43,0.6,3.65,0.36,0.31,1.3
"Kyle Bochniak",145,"featherweight",70,2.63,5.11,0.31,0.58,1.14,0.15,0.62,0
"James Bochnovic",205,"lightheavyweight",81,0.65,3.64,0.26,0.21,0,0,0,0
"Tim Boetsch",185,"middleweight",74,2.93,2.9,0.5,0.57,1.45,0.34,0.59,0.8
"Galore Bofando",170,"welterweight",72,3.63,3.63,0.45,0.54,2.37,1,0.5,0
"Jay Bogan",145,"featherweight",70,0,0,0,0,0,0,0,0
"Roman Bogatov",155,"lightweight",73,3.33,4.4,0.42,0.44,1,0.09,0.5,0
"Derek Bohi",260,"heavyweight",77,0,0,0,0,0,0,0,0
"Jerry Bohlander",199,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Kotetsu Boku",154,"lightweight",72,2.47,2.8,0.42,0.53,0,0,0,0
"Kyle Bolt",185,"middleweight",75,7.27,7.27,0.52,0.45,0,0,0,0
"Denys Bondar",125,"flyweight",67,0,0,0,0,0,0,0,0
"Luc Bondole",205,"lightheavyweight",76,3.35,2.04,0.51,0.62,0,0,0,1.8
"Tony Bonello",185,"middleweight",75,0.62,12.62,0.33,0.1,0,0,0,0
"Jesse Bongfeldt",185,"middleweight",75,2.91,1.01,0.62,0.5,1.51,0.33,0.33,0
"Marcos Bonilla",145,"featherweight",70,0.47,0.47,0.12,0.94,0,0,0,0
"Stephan Bonnar",205,"lightheavyweight",79,2.76,3.01,0.38,0.52,1.32,0.4,0.6,1
"Rogerio Bontorin",125,"flyweight",67,2.19,3.12,0.5,0.38,1.9,0.4,0.51,1.6
"Ray Borg",135,"bantamweight",63,1.52,1.93,0.52,0.48,3.89,0.5,0.46,1
"Igor Borisov",235,"heavyweight",77,0,0,0,0,0,0,0,0
"Calen Born",170,"welterweight",72,0,0,0,0,0,0,0,0
"Tanner Boser",255,"heavyweight",75,4.54,2.7,0.55,0.63,0,0,1,0
"Steve Bosse",205,"lightheavyweight",72,5.99,5.38,0.52,0.5,0.92,0.33,1,0
"Marcus Bossett",215,"heavyweight",77,0,0,0,0,0,0,0,0
"Poliana Botelho",115,"strawweight",67,3,3.08,0.56,0.5,0.89,1,0.8,0
"Francois Botha",260,"heavyweight",77,0,1.05,0,0.77,0,0,0,0
"Gregory Bouchelaghem",183,"middleweight",75,0.27,1.53,0.21,0.36,0,0,0.5,0
"Roy Boughton",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Rich Bouphanouvong",170,"welterweight",73,0,0,0,0,0,0,0,0
"Mike Bourke",275,"heavyweight",77,0,0,0,0,0,0,0,0
"Jess Bouscal",155,"lightweight",72,0,0,0,0,0,0,0,0
"Tai Bowden",230,"heavyweight",77,0,0,0,0,0,0,0,0
"Melton Bowen",225,"heavyweight",77,0,0,0,0,0,0,0,0
"Kyron Bowen",185,"middleweight",73,2.73,2.05,0.57,0.4,0,0,0,0
"Brian Bowles",135,"bantamweight",70,2.36,2.98,0.26,0.64,1.39,0.7,0.54,1.4
"Roger Bowling",155,"lightweight",68,3.9,3.86,0.47,0.51,3.09,0.43,0.27,0.9
"Blake Bowman",170,"welterweight",73,0,0,0,0,0,0,0,0
"Ashe Bowman",155,"lightweight",72,2.43,4.86,0.42,0.57,0,0,0,0
"Colley  Bradford",145,"featherweight",70,0.43,1.73,0.25,0.5,19.42,0.5,1,0
"Kyle Bradley",155,"lightweight",71,1.99,3.45,0.4,0.58,0.65,0.5,0.4,0
"Paul Bradley",170,"welterweight",73,2.26,4.13,0.32,0.56,1.12,0.16,1,0
"Sean Brady",170,"welterweight",72,4.72,3.6,0.55,0.63,2.69,0.6,1,1.2
"Ebenezer Fontes Braga",199,"lightheavyweight",76,2.42,0.42,0.5,0.71,0,0,0.9,0.6
"Ramiz Brahimaj",170,"welterweight",72,3.73,6.14,0.36,0.55,0,0,1,0
"Joe Brammer",155,"lightweight",72,2.15,2.8,0.31,0.56,0.81,0.5,0.5,0
"David Branch",185,"middleweight",78,1.66,1.91,0.39,0.56,2.55,0.32,0.43,0
"Diego Brandao",145,"featherweight",64,2.94,3.38,0.47,0.62,3.21,0.68,0.8,0.6
"Michael Bravo",155,"lightweight",72,0,0,0,0,0,0,0,0
"Martin Bravo",145,"featherweight",71,7.66,5.72,0.39,0.51,2.6,0.35,0.85,0
"Mike Breeden",155,"lightweight",70,4,5.87,0.34,0.47,0,0,0.77,0
"Tom Breese",185,"middleweight",73,3.34,2.81,0.5,0.6,0,0,0.7,1.1
"Chris Brennan",170,"welterweight",73,0.6,0.97,0.4,0.5,0,0,0.25,2.1
"Charlie Brenneman",155,"lightweight",70,1.52,1.55,0.56,0.46,4.23,0.42,0.72,0
"Robert Breslin",155,"lightweight",72,2.21,3.5,0.46,0.66,1.38,1,0.5,0
"Mack Brewer",205,"lightheavyweight",76,0,6.67,0,0.36,0,0,0,0
"Marcos Brigagao",205,"lightheavyweight",76,3.07,3.27,0.43,0.25,0,0,0.36,0
"Jason Brilz",205,"lightheavyweight",71,2.66,1.78,0.4,0.65,2.37,0.25,0.25,1.3
"Marcus Brimage",135,"bantamweight",71,3.97,3.64,0.35,0.56,0.56,1,0.8,0
"Aaron Brink",205,"lightheavyweight",76,3.49,5.71,0.42,0.57,0,0,0,0
"Henry Briones",135,"bantamweight",69,3.47,4.68,0.42,0.53,0,0,0.52,0.6
"Marcelo Brito",170,"welterweight",73,0.6,3.53,0.2,0.55,0,0,0.5,0
"Antwain Britt",205,"lightheavyweight",77,1.46,2.81,0.39,0.44,1.56,0.4,0.5,0
"Mike Bronzoulis",155,"lightweight",72,1.13,2.54,0.34,0.37,0,0,0.33,0
"Jonathan Brookins",145,"featherweight",74,2.69,3.63,0.39,0.56,1.94,0.17,0.8,0.3
"Will Brooks",155,"lightweight",72,4.26,2.54,0.59,0.56,2.08,0.51,0.82,0.3
"Jarred Brooks",125,"flyweight",62,2.12,1.66,0.46,0.62,4.54,0.57,0.69,0.6
"Rob Broughton",265,"heavyweight",74,2.83,2.54,0.6,0.51,0,0,0.26,3.2
"Lee Brousseau",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Matt Brown",170,"welterweight",75,3.69,2.67,0.54,0.55,1.56,0.44,0.63,1.4
"Mike Brown",145,"featherweight",70,2.98,2.45,0.44,0.6,3.23,0.4,0.66,0.6
"Dominic Brown",190,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Todd Brown",205,"lightheavyweight",76,2.15,3.85,0.45,0.48,0,0,0.5,0
"Terrell Brown",185,"middleweight",75,0,0,0,0,0,0,0,0
"Chris Brown",170,"welterweight",73,0,0,0,0,0,0,0,0
"Frederick Brown",235,"heavyweight",77,0,0,0,0,0,0,0,0
"Randy Brown",170,"welterweight",78,3.67,2.8,0.47,0.53,1,0.46,0.71,0.6
"Damien Brown",155,"lightweight",68,3.66,4.86,0.38,0.5,0.68,0.27,0.53,0.7
"TJ Brown",145,"featherweight",72,3.22,2.21,0.42,0.5,4.92,0.6,0.4,0.4
"Humberto Brown Morrison",145,"featherweight",70,1.71,2.19,0.5,0.62,1.43,0.25,0,0
"Travis Browne",255,"heavyweight",79,2.93,4.31,0.41,0.42,1.21,0.68,0.75,0.2
"Junie Browning",155,"lightweight",72,3.76,1.76,0.48,0.66,3.53,0.66,0,3.5
"Jules Bruchez",205,"lightheavyweight",76,0.69,5.52,0.5,0.46,0,0,0,0
"Justin Bruckmann",170,"welterweight",73,0.59,5.91,0.66,0.16,0,0,0.33,0
"Cody Brundage",205,"lightheavyweight",72,7.97,6.29,0.82,0.06,6.29,0.33,0,0
"Steve Bruno",170,"welterweight",73,0.96,3.38,0.52,0.36,1.94,0.25,0.46,0.4
"Fernando Bruno",145,"featherweight",70,1.75,1.78,0.39,0.48,2.02,0.22,0.56,0.5
"Derek Brunson",185,"middleweight",77,3.77,2.95,0.47,0.54,3.02,0.31,1,0.4
"Josh Bryant",185,"middleweight",75,1.1,6.1,0.2,0.43,0,0,0,0
"Dennis Bryant",205,"lightheavyweight",76,10.56,10.56,0.59,0.13,0,0,0,0
"Justin Buchholz",155,"lightweight",73,2.35,4.14,0.26,0.51,0,0,0.33,0.8
"Zak Bucia",170,"welterweight",73,0,0,0,0,0,0,0,0
"Courtney Buck",135,"bantamweight",69,1.49,3.24,0.28,0.54,0,0,0.33,0
"Joaquin Buckley",185,"middleweight",76,4.58,5.46,0.36,0.51,0.6,0.16,1,0
"Julia Budd",145,"featherweight",67,2.42,1.18,0.74,0.47,3.6,0.57,0.83,0
"Mike Budnik",145,"featherweight",68,0.65,0.95,0.52,0.53,0,0,0,3.4
"Francisco Bueno",225,"heavyweight",77,0,0,0,0,0,0,0,0
"Mayra Bueno Silva",135,"bantamweight",66,4.06,4.89,0.57,0.47,0,0,0.73,1.6
"Paul Buentello",245,"heavyweight",77,3.29,3.83,0.45,0.52,0.19,0.33,0.39,0.4
"Modestas Bukauskas",205,"lightheavyweight",78,3.56,5.7,0.37,0.42,0,0,1,0
"Lee Kwan Bum",286,"heavyweight",77,0.71,0,0.14,1,0,0,0,0
"Josh Bumgarner",170,"welterweight",73,0,0,0,0,0,0,0,0
"Shawn Bunch",135,"bantamweight",69,0,1.55,0,0.55,0,0,0.5,0
"Wuliji Buren",135,"bantamweight",69,1.63,2.96,0.42,0.56,3.38,0.42,0.71,0.4
"Shane Burgos",145,"featherweight",75,7.31,5.81,0.5,0.6,0.3,1,0.89,0.1
"Joshua Burkman",170,"welterweight",72,2.69,3.13,0.43,0.51,2.53,0.36,0.72,0.3
"Mads Burnell",145,"featherweight",69,1.28,2.71,0.41,0.51,3.45,0.47,0.22,0.4
"Mikey Burnett",170,"welterweight",73,0,0,0,0,0,0,0,0
"Kevin Burns",170,"welterweight",74,2.74,4.3,0.38,0.52,0.28,0.5,0.47,0.8
"Gilbert Burns",170,"welterweight",71,3.22,3.04,0.45,0.54,2.08,0.35,0.5,0.7
"Josh Burns",244,"heavyweight",77,2.4,5.73,0.48,0.32,0,0,1,0
"Herbert Burns",145,"featherweight",73,1.67,5.02,0.45,0.33,4.64,0.83,0.75,2.8
"Derrick Burnsed",155,"lightweight",72,0,0,0,0,0,0,0,0
"Nah-Shon Burrell",170,"welterweight",73,4.83,3.45,0.47,0.56,0,0,0.52,0.3
"Martin Buschkamp",145,"featherweight",70,0,0,0,0,0,0,0,0
"George Bush",205,"lightheavyweight",76,6.35,2.31,0.64,0.55,17.31,0.66,0,0
"Bubba Bush",185,"middleweight",75,0.63,7.01,0.55,0.25,2.82,0.5,0.6,0
"Murilo Bustamante",183,"middleweight",75,1.33,1.9,0.32,0.6,2.46,0.33,0.54,1.2
"Nick Bustamante",170,"welterweight",73,0,0,0,0,0,0,0,0
"Eduardo Bustillos",135,"bantamweight",69,2.61,6.22,0.59,0.35,0,0,1,0
"Jason Butcher",185,"middleweight",75,1.82,2.73,0.4,0.25,13.64,0.5,0,0
"Todd Butler",200,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Ian Butler",155,"lightweight",72,2.09,6.69,0.14,0.36,0,0,0.5,0
"Raphael Butler",261,"heavyweight",77,4.69,0.94,0.45,0.91,0,0,1,14.1
"JP Buys",125,"flyweight",67,2.99,2.02,0.58,0.47,3.64,0.6,0,2.4
"Cheyanne Buys",115,"strawweight",63,6.13,2.33,0.55,0.66,0,0,1,0
"Dennis Buzukja",145,"featherweight",71,3.8,6.8,0.46,0.35,2,0.25,1,1
"Charles Byrd",185,"middleweight",73,3.43,2.63,0.55,0.55,2.5,0.5,0.4,1.5
"Steve Byrnes",170,"welterweight",73,1.2,2.67,0.51,0.27,3,0.6,0,4
"Michael Byrnes",155,"lightweight",72,0,0,0,0,0,0,0,0
"Yan Cabral",155,"lightweight",73,2.02,1.98,0.47,0.62,2.89,0.35,0.37,1.2
"Alvin Cacdac",125,"flyweight",67,1.21,0.61,0.66,0,0,0,0,0
"Alex Caceres",145,"featherweight",73,4.1,2.82,0.5,0.65,0.57,0.78,0.64,0.8
"Vince Cachero",145,"featherweight",68,3.29,6.51,0.45,0.43,0,0,0.18,0.5
"Priscila Cachoeira",135,"bantamweight",65,3.84,7.93,0.37,0.42,0,0,0.69,0
"Travis Calanoc",145,"featherweight",70,0,0,0,0,0,0,0,0
"Ricky Calatayud",125,"flyweight",67,0,0,0,0,0,0,0,0
"Joanne Calderwood",125,"flyweight",65,6.59,4.4,0.49,0.53,1.8,0.55,0.58,0.5
"Darrion Caldwell",135,"bantamweight",69,0.85,0.57,0.34,0.6,3.41,0.66,1,0.8
"Taylor Callens",155,"lightweight",72,0,0,0,0,0,0,0,0
"Cynthia Calvillo",125,"flyweight",64,4.18,3.52,0.41,0.67,1.85,0.44,0.71,1.1
"Joe Camacho",155,"lightweight",72,0.31,5,0.17,0.42,0,0,0,0
"Frank Camacho",170,"welterweight",73,6.67,7.31,0.46,0.52,1.17,0.45,0.72,0
"Fabricio Camoes",155,"lightweight",71,1.29,1.85,0.33,0.61,2.34,0.32,0.2,1.5
"Chris Camozzi",185,"middleweight",75,3.57,2.96,0.44,0.56,0.27,0.19,0.57,0.5
"Brian Camozzi",170,"welterweight",78,3.15,6.39,0.26,0.54,0,0,0,0.7
"Mike Campbell",155,"lightweight",72,1.4,1.4,0.26,0.63,5.26,1,0,0
"Shane Campbell",155,"lightweight",71,3.99,3.19,0.59,0.55,1.36,0.28,0.82,0
"John Campetella",235,"heavyweight",77,0,0,0,0,0,0,0,0
"Wagner Campos",145,"featherweight",70,1.54,2.53,0.41,0.51,2.71,1,0,0
"Derek Campos",155,"lightweight",72,2.41,10.34,0.23,0.44,0,0,0,0
"Will Campuzano",125,"flyweight",70,2.43,3.82,0.31,0.57,0.88,0.45,0.48,0.2
"Aleksa Camur",205,"lightheavyweight",74,3.94,2.49,0.54,0.57,0.84,0.33,0.2,0
"Chico Camus",125,"flyweight",66,2.58,2.46,0.41,0.64,0.77,0.4,0.72,0.4
"Asbel Cancio",225,"heavyweight",77,0,0,0,0,0,0,0,0
"Carlos Candelario",125,"flyweight",67,3.87,1.67,0.47,0.57,0,0,0.46,0
"Ronaldo Candido",125,"flyweight",67,1.67,3.87,0.42,0.52,8,0.53,0,5
"Luiz Cane",185,"middleweight",77,4.79,5,0.41,0.6,0.56,0.28,1,0.3
"Guido Cannetti",135,"bantamweight",68,2.85,2.17,0.51,0.5,2.64,0.5,0.75,0.3
"Jared Cannonier",185,"middleweight",77,3.7,3.09,0.52,0.64,0.16,0.33,0.54,0
"Jose Canseco",240,"heavyweight",77,0.78,4.68,0.1,0.62,0,0,0,0
"Cody Canterbury",155,"lightweight",72,0,0,0,0,0,0,0,0
"Bo Cantrell",235,"heavyweight",77,3.16,12.63,0.16,0,0,0,0,0
"Steve Cantwell",185,"middleweight",75,3.63,5.76,0.34,0.55,0.65,0.3,0.8,0.7
"Phil Caracappa",135,"bantamweight",70,2.93,4.07,0.5,0.29,1,0.08,1,1
"Gina Carano",145,"featherweight",70,4.5,2.66,0.47,0.64,1.24,0.66,0.85,1.6
"Dos Caras Jr.",225,"heavyweight",77,0.77,1.2,0.23,0.59,0,0,0.72,0
"Bryan Caraway",135,"bantamweight",68,2.53,3.61,0.34,0.54,2.57,0.25,0.8,0.8
"Remo Cardarelli",135,"bantamweight",69,2.27,1.47,0.47,0.59,0,0,1,0
"Phil Cardella",155,"lightweight",72,2.47,2,0.5,0.57,0,0,0.11,2.5
"Edgar Cardenas",145,"featherweight",70,0,0,0,0,0,0,0,0
"Chris Cariaso",125,"flyweight",64,3.35,2.23,0.43,0.61,1.11,0.39,0.57,0.8
"Ronald Carillo",125,"flyweight",67,0,0,0,0,0,0,0,0
"Rafael Carino",245,"heavyweight",77,0,0,0,0,0,0,0,0
"Don Carlo-Clauss",170,"welterweight",73,1.44,7.68,0.3,0.43,0,0,0.66,0
"Antonio Carlos Junior",185,"middleweight",79,1.95,2.14,0.42,0.52,3.42,0.39,0.53,0.8
"Spike Carlyle",145,"featherweight",71,2.55,3.85,0.54,0.3,3.34,0.36,0.57,0.5
"Francis Carmont",205,"lightheavyweight",78,2.22,1.64,0.42,0.59,1.79,0.36,0.73,0.6
"Liz Carmouche",125,"flyweight",66,2.78,2.51,0.54,0.61,2.57,0.51,0.65,0.3
"Roan Carneiro",170,"welterweight",76,1.46,1.82,0.46,0.62,3.05,0.42,0.83,1.4
"Ariane Carnelossi",115,"strawweight",61,6.03,7.71,0.38,0.5,0,0,0,0
"Luana Carolina",125,"flyweight",69,6.29,3.75,0.5,0.47,0,0,1,2.4
"Tim Caron",185,"middleweight",75,0.59,6.9,0.5,0.12,0,0,0,0
"Gabriel Carrasco",135,"bantamweight",69,4.15,1.53,0.37,0.8,0,0,1,0
"Cody Carrillo",155,"lightweight",72,0,0,0,0,0,0,0,0
"Cain Carrizosa",155,"lightweight",72,2.72,5.8,0.42,0.51,0,0,0.14,0
"Roger Carroll",170,"welterweight",73,7.62,10.48,0.61,0.43,0,0,1,0
"Jonny Carson",155,"lightweight",72,0,0,0,0,0,0,0,0
"Scott Carson",215,"heavyweight",77,0.62,6.22,0.66,0.23,0,0,0,0
"Shonie Carter",170,"welterweight",73,1.62,2.32,0.36,0.47,0.75,0.66,0.75,0
"Bruno Carvalho",154,"lightweight",72,0.6,0.93,0.45,0.53,0,0,0.66,4
"Antonio Carvalho",145,"featherweight",70,3.03,3.62,0.29,0.64,0,0,1,0
"Rafael Carvalho",185,"middleweight",75,1.94,1.84,0.5,0.54,2.77,0.4,0.7,0
"Shane Carwin",265,"heavyweight",80,4.38,3.53,0.47,0.53,1.42,0.33,0.42,0
"Johnny Case",155,"lightweight",72,3.95,2.66,0.38,0.61,1.7,0.45,0.72,0.2
"Kevin Casey",185,"middleweight",77,2.27,3.76,0.53,0.46,0.79,0.22,0.27,0.4
"Cortney Casey",135,"bantamweight",67,4.4,4.31,0.38,0.53,0.31,0.3,0.37,0.6
"Brandon Cash",255,"heavyweight",77,5.42,0.68,0.72,0.33,10.17,0.66,0,0
"Bendy Casimir",145,"featherweight",70,0.74,3.42,0.27,0.54,0,0,1,0
"Dwayne Cason",212,"heavyweight",77,0,0,0,0,0,0,0,0
"Joe Cason",205,"lightheavyweight",76,4.17,10.83,0.55,0.23,0,0,0,0
"John Castaneda",135,"bantamweight",71,4.17,5.07,0.49,0.55,0.86,0.25,0.6,0
"Eric Castile",145,"featherweight",70,0,0,0,0,0,0,0,0
"Gil Castillo",170,"welterweight",73,0.6,2.22,0.45,0.44,3.33,0.45,0.5,0
"Danny Castillo",155,"lightweight",71,2.57,1.96,0.42,0.62,2.95,0.38,0.63,0.2
"Raul Castillo",185,"middleweight",75,1.47,3.27,0.48,0.6,0,0,0,0
"Jenna Castillo",125,"flyweight",67,3.24,2.01,0.56,0.57,1.68,1,1,0
"Tim Catalfo",235,"heavyweight",77,0.39,0.77,1,0.33,0,0,0,0
"Nick Catone",185,"middleweight",72,2.11,2.32,0.44,0.63,3.71,0.44,0.83,0.5
"Luke Caudillo",155,"lightweight",72,1.97,5.07,0.28,0.55,0.44,0.2,0.85,0
"Gesias Cavalcante",155,"lightweight",71,1.98,3.11,0.35,0.51,1.25,0.36,0.66,1.1
"Rafael Cavalcante",205,"lightheavyweight",74,2.71,3.62,0.53,0.49,0.6,0.4,0.63,0.1
"Magnus Cedenblad",185,"middleweight",79,2.38,3.02,0.51,0.4,2.87,0.64,0.66,1
"Yosdenis Cedeno",155,"lightweight",69,1.64,1.6,0.29,0.67,0,0,0.31,0.3
"Henry Cejudo",135,"bantamweight",64,3.92,2.77,0.45,0.65,2.12,0.33,0.93,0.2
"Adam Cella",170,"welterweight",73,1.91,2.61,0.42,0.51,3.92,0.75,0.5,1.3
"Donald Cerrone",155,"lightweight",73,4.43,4.46,0.46,0.53,1.19,0.33,0.73,1.2
"Jared Chaffee",155,"lightweight",72,0,0,0,0,0,0,0,0
"Luan Chagas",170,"welterweight",75,4.16,3.19,0.47,0.62,0.32,0.12,0.85,0.3
"Ansar Chalangov",170,"welterweight",73,0.68,1.69,0.66,0.54,0,0,0,7.6
"Alex Chambers",115,"strawweight",63,2.97,5.1,0.54,0.5,2.31,0.41,0.53,1
"Michael Chandler",155,"lightweight",71,4.29,3.76,0.49,0.52,2.37,0.41,0.8,1.4
"Donnie Chappell",178,"middleweight",75,0,0,0,0,0,0,0,0
"Joe Charles",260,"heavyweight",77,0,0,0,0,0,0,0,0
"Dan Charles",228,"heavyweight",77,2.82,3.51,0.45,0.44,0,0,0.31,0
"Ernest Chavez",145,"featherweight",70,2.79,3.89,0.4,0.59,0.89,0.33,0.5,0
"Emilio Chavez",145,"featherweight",70,2.73,1.53,0.48,0.54,3,0.5,0,0
"Danny Chavez",145,"featherweight",67,2.93,4.17,0.39,0.53,2.5,1,0.84,0
"Gabriel Checco",185,"middleweight",75,0,0,0,0,0,0,0,0
"Albert Cheng",170,"welterweight",73,1,2.6,0.41,0.71,0,0,0,0
"Fabio Cherant",205,"lightheavyweight",76,1.21,7.59,0.31,0.33,0,0,0,0
"Ion Cherdivara",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Mark Cherico",145,"featherweight",69,3.69,7.37,0.34,0.56,5.03,0.5,0,0
"Macy Chiasson",135,"bantamweight",72,4.4,2.22,0.53,0.44,0.97,0.16,0.7,0.7
"Michael Chiesa",170,"welterweight",75,1.89,1.71,0.4,0.54,3.6,0.52,0.68,0.9
"Giga Chikadze",145,"featherweight",74,3.45,2.65,0.43,0.6,0.38,0.33,0.68,0
"Khamzat Chimaev",170,"welterweight",75,9.03,0.1,0.72,0.66,4.67,0.75,0,3.1
"Sako Chivitchian",155,"lightweight",72,2.4,4.8,0.27,0.46,0,0,1,0
"Mu Bae Choi",230,"heavyweight",77,1.55,3.65,0.49,0.44,3.12,0.75,0.6,1
"Hong Man Choi",330,"heavyweight",77,1.32,1.46,0.26,0.36,0.71,1,0.84,0
"Dooho Choi",145,"featherweight",70,5.32,6.38,0.51,0.53,0.41,0.2,0.5,0
"SeungWoo Choi",145,"featherweight",74,3.17,2.45,0.41,0.46,1.03,0.57,0.66,0
"John Cholish",155,"lightweight",74,2.65,2.29,0.49,0.73,1.82,0.31,0.78,0.4
"Ryo Chonan",170,"welterweight",70,2.57,2.25,0.43,0.6,0.61,0.41,0.39,0.3
"Katlyn Chookagian",125,"flyweight",68,4.22,4.23,0.34,0.63,0.27,0.15,0.51,0.5
"Will Chope",145,"featherweight",70,4.43,9.93,0.27,0.46,0,0,0,0
"Joachim Christensen",205,"lightheavyweight",76,3.78,3.29,0.41,0.46,0,0,0,0
"Dan Christison",265,"heavyweight",77,4.23,3.88,0.51,0.54,0,0,0.37,1.1
"Anthony Christodoulou",155,"lightweight",72,2.19,5.9,0.26,0.45,0,0,0.4,0
"Murad Chunkaiev",185,"middleweight",75,0.85,3.41,0.16,0.66,8.53,1,0,0
"Cameron Church",155,"lightweight",72,4,4.93,0.4,0.5,0,0,0.6,1
"Steven Ciaccio",170,"welterweight",73,0,0,0,0,0,0,0,0
"Mike Ciesnolevicz",235,"heavyweight",77,0.51,4.62,0.5,0.57,0,0,0.2,5.1
"Hannah Cifers",115,"strawweight",62,4.99,5.39,0.44,0.52,0.26,1,0.64,0.3
"Branko Cikatic",215,"heavyweight",77,0,0,0,0,0,0,0,0
"Misha Cirkunov",205,"lightheavyweight",77,4.18,2.89,0.52,0.62,4.42,0.57,0.71,2.4
"Johnny Cisneros",170,"welterweight",73,0,0,0,0,0,0,0,0
"Laverne Clark",170,"welterweight",73,0,0,0,0,0,0,0,0
"Logan Clark",185,"middleweight",75,2.2,1.49,0.54,0.53,0.31,1,0.3,2.1
"Mychal Clark",224,"heavyweight",77,5.8,2.9,0.56,0.59,0,0,0,0
"Dominic Clark",155,"lightweight",72,0,0,0,0,0,0,0,0
"Heather Clark",115,"strawweight",64,3.69,5.62,0.49,0.5,0.33,0.04,0.8,0.3
"Devin Clark",205,"lightheavyweight",75,3.33,2.43,0.57,0.48,2.7,0.36,0.76,0.1
"Jessica-Rose Clark",125,"flyweight",64,4.68,3.98,0.51,0.6,1.01,0.55,0.73,0.4
"John Clarke",170,"welterweight",73,0,0,0,0,0,0,0,0
"Mitch Clarke",155,"lightweight",73,2.35,3.27,0.34,0.47,0.64,0.15,0.5,0.4
"Rich Clementi",155,"lightweight",72,1.43,2.29,0.37,0.6,1.72,0.42,0.25,1.1
"Chris Clements",170,"welterweight",70,3.2,2.37,0.49,0.44,0,0,0.32,0.3
"RJ Clifford",160,"welterweight",73,0,0,0,0,0,0,0,0
"Josh Clopton",145,"featherweight",70,1.6,2.87,0.64,0.5,2,0.66,0.75,0
"Brian Cobb",155,"lightweight",72,0,3.68,0,0.55,5.81,0.5,0,0
"Darryl Cobb",185,"middleweight",75,0,0,0,0,0,0,0,0
"Dave Cochran",155,"lightweight",72,0,0,0,0,0,0,0,0
"Dakota Cochrane",155,"lightweight",72,2.66,2.66,0.75,0.3,4.43,0.33,0,0
"Marloes Coenen",145,"featherweight",67,2.15,1.9,0.51,0.67,0.82,0.3,0.41,2.5
"Marc Cofer",185,"middleweight",75,0,0,0,0,0,0,0,0
"John Cofer",155,"lightweight",72,2.73,3.43,0.41,0.62,1.22,0.5,0.64,0
"Felipe Colares",135,"bantamweight",69,1.13,3,0.42,0.32,2,0.25,0.34,1
"Wayne Cole",205,"lightheavyweight",76,0.57,8.33,0.2,0.27,4.31,0.25,0,4.3
"Devin Cole",240,"heavyweight",77,3.5,2.14,0.55,0.48,2.18,0.42,0.66,0
"Coltin Cole",185,"middleweight",75,0,0,0,0,0,0,0,0
"Ivan Cole",135,"bantamweight",69,2.68,4.69,0.36,0.46,0,0,0,0
"Mark Coleman",205,"lightheavyweight",75,1.88,2.62,0.52,0.4,3.89,0.4,0.5,0.8
"Cortez Coleman",185,"middleweight",75,0,0,0,0,0,0,0,0
"Clay Collard",145,"featherweight",73,4.22,5,0.32,0.5,2.81,0.39,0.71,0.5
"Jamie Colleen",115,"strawweight",65,3.11,5.66,0.61,0.33,0.52,0.33,0.5,1.6
"Jake Collier",230,"heavyweight",78,4.92,4.09,0.41,0.53,0.57,0.23,0.67,0.4
"Christian Colombo",265,"heavyweight",77,2.76,4.02,0.44,0.42,0,0,0.33,0
"Wes Combs",205,"lightheavyweight",76,2.14,4.73,0.48,0.45,0,0,0,0
"Carlos Condit",170,"welterweight",75,3.63,2.49,0.39,0.56,0.62,0.54,0.39,1
"Chris Condo",335,"heavyweight",77,0,0,0,0,0,0,0,0
"Tristan Connelly",170,"welterweight",68,4.27,2.13,0.51,0.57,0,0,0.6,1
"Marcos Conrado Jr.",220,"heavyweight",77,1.6,9.69,0.34,0.35,1.84,0.14,0,0
"Jeremiah Constant",240,"heavyweight",77,1.5,3.25,0.75,0.43,0,0,0,7.5
"Jonathan Contrestano",155,"lightweight",72,0,0,0,0,0,0,0,0
"Bob Cook",170,"welterweight",73,0,0,0,0,0,0,0,0
"Mike Cook",205,"lightheavyweight",76,1.72,2.4,0.49,0.46,1.03,0.33,0.55,2.1
"Chad Cook",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"TJ Cook",205,"lightheavyweight",76,2.3,3.18,0.47,0.54,1.01,0.5,0,0
"Dewey Cooper",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Brett Cooper",170,"welterweight",73,0,0,0,0,0,0,0,0
"Bill Cooper",155,"lightweight",72,0,0,0,0,0,0,0,0
"Bobby Cooper",155,"lightweight",72,2.87,3.4,0.25,0.59,0,0,0.4,1
