"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Magno Almeida",155,"lightweight",72,1.67,2.6,0.36,0.41,0,0,0.4,5
"Thomas Almeida",145,"featherweight",70,5.39,4.69,0.44,0.64,0,0,0.75,0
"Ericka Almeida",115,"strawweight",64,1.07,3.33,0.39,0.43,0.5,0.33,0.37,0
"Estefani Almeida",125,"flyweight",67,3.13,6.07,0.37,0.42,0,0,0,0
"Mauricio Alonso",170,"welterweight",73,5.74,1.91,0.34,0.67,0,0,0,0
"Sarah Alpar",135,"bantamweight",63,2.11,4.76,0.54,0.32,2.69,0.28,0.5,0.7
"Ali AlQaisi",135,"bantamweight",68,2.43,1.97,0.42,0.56,3.5,0.29,0.6,1
"Rico Altamirano",170,"welterweight",73,0,0,0,0,0,0,0,0
"Mike Altman",185,"middleweight",75,1.56,2.08,0.2,0.75,0,0,0,0
"Sean Alvarez",235,"heavyweight",77,0.89,3.25,0.37,0.47,0,0,0,0
"Eddie Alvarez",155,"lightweight",69,4.32,4.39,0.41,0.55,2.92,0.36,0.92,0.5
"Jaime Alvarez",125,"flyweight",69,2.73,4.53,0.4,0.56,1,0.33,0.5,0
"Joel Alvarez",155,"lightweight",77,2.84,3.31,0.37,0.53,0,0,0,1.6
"Thiago Alves",170,"welterweight",70,3.73,3.42,0.41,0.62,0.71,0.6,0.63,0.3
"Amilcar Alves",170,"welterweight",73,0.5,2.02,0.46,0.3,0,0,0.53,0
"Warlley Alves",170,"welterweight",72,3.09,3.62,0.47,0.5,1.48,0.54,0.75,1
"Rafael Alves",145,"featherweight",68,2.02,3.66,0.45,0.59,0,0,1,1.9
"Sam Alvey",205,"lightheavyweight",75,3.17,3.26,0.44,0.55,0.08,0.16,0.82,0.1
"Andre Amado",154,"lightweight",72,2.27,5.91,0.24,0.63,0,0,0.2,0
"Adlan Amagov",170,"welterweight",76,3.29,0.82,0.47,0.78,5.84,0.56,1,0
"Maiara Amanajas dos Santos",115,"strawweight",64,5.53,24.47,0.35,0.33,0,0,1,0
"Chris Amarante",185,"middleweight",75,0,0,0,0,0,0,0,0
"Jimmy Ambriz",315,"heavyweight",77,0.83,3.76,0.29,0.4,3.13,0.57,1,0.8
"JJ Ambrose",170,"welterweight",73,3.16,6.32,0.69,0.33,0,0,0.5,0
"Alen Amedovski",185,"middleweight",74,0.52,3.14,0.28,0.37,0,0,0,0
"Makwan Amirkhani",145,"featherweight",72,1.42,2.63,0.44,0.51,3.37,0.37,0.57,1.4
"Bertrand Amoussou",190,"lightheavyweight",76,6.75,2.01,0.39,0.83,0,0,0,0
"Karl Amoussou",185,"middleweight",75,1.47,2.67,0.34,0.54,0,0,0.25,1
"Eryk Anders",185,"middleweight",75,3.02,4.18,0.45,0.51,1.34,0.34,0.8,0.1
"Matt Andersen",230,"heavyweight",77,0,0,0,0,0,0,0,0
"Andy Anderson",240,"heavyweight",77,0,0,0,0,0,0,0,0
"Lowell Anderson",160,"welterweight",73,0,0,0,0,0,0,0,0
"Corey Anderson",205,"lightheavyweight",79,4.43,2.22,0.46,0.59,4.89,0.5,0.83,0
"Derek Anderson",155,"lightweight",72,3.97,3.08,0.37,0.61,0.34,0.14,0.6,0
"Megan Anderson",145,"featherweight",72,1.76,3.35,0.46,0.37,0.52,0.25,0.53,0.5
"Alex Andrade",200,"lightheavyweight",76,0.2,2.6,0.36,0.53,0,0,0.25,0.8
"Jessica Andrade",115,"strawweight",62,6.38,5.26,0.49,0.53,3.11,0.57,0.76,0.4
"Viscardi Andrade",170,"welterweight",75,3.26,2.77,0.42,0.63,1.93,0.5,0.66,0.3
"Jermaine Andre",200,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Dylan Andrews",185,"middleweight",74,2.21,2.72,0.5,0.46,2.83,0.5,0.57,0.4
"Reese Andy",205,"lightheavyweight",76,2.87,3.5,0.5,0.58,0.67,0.2,0.4,0
"Julius Anglickas",205,"lightheavyweight",76,4.62,1.86,0.78,0.5,4.47,0.5,0.6,1.1
"Collin Anglin",145,"featherweight",71,5.87,3.47,0.55,0.58,3,0.75,1,0
"Yoji Anjo",205,"lightheavyweight",76,0,3.13,0,0.25,0,0,0,0
"Magomed Ankalaev",205,"lightheavyweight",75,3.41,1.78,0.53,0.65,1.18,0.33,0.85,0
"Nina Ansaroff",115,"strawweight",64,4.81,3.55,0.47,0.54,0.29,0.4,0.77,0.6
"Gadzhimurad Antigulov",205,"lightheavyweight",70,2.08,4.21,0.55,0.4,5.08,0.36,0,1.4
"Adam Antolin",125,"flyweight",63,5.73,5,0.52,0.69,0,0,1,0
"Angelo Antonio",205,"lightheavyweight",76,1.09,7.64,0.5,0.5,0,0,0,0
"Azunna Anyanwu",251,"heavyweight",77,2.47,2.47,0.42,0.69,0.65,1,0,0
