"Date","Event","City","State","Country","Winner","Loser","WeightClass","Round","Method"
2020-09-26,"UFC 253: Adesanya vs. Costa","Abu Dhabi","Abu Dhabi","United Arab Emirates","Jake Matthews","Diego Sanchez","Welterweight",3,"U-DEC"
2020-09-26,"UFC 253: Adesanya vs. Costa","Abu Dhabi","Abu Dhabi","United Arab Emirates","Ludovit Klein","Shane Young","Featherweight",1,"KO/TKO"
2020-09-26,"UFC 253: Adesanya vs. Costa","Abu Dhabi","Abu Dhabi","United Arab Emirates","William Knight","Aleksa Camur","Light Heavyweight",3,"U-DEC"
2020-09-26,"UFC 253: Adesanya vs. Costa","Abu Dhabi","Abu Dhabi","United Arab Emirates","Juan Espino","Jeff Hughes","Heavyweight",1,"SUB"
2020-09-26,"UFC 253: Adesanya vs. Costa","Abu Dhabi","Abu Dhabi","United Arab Emirates","Danilo Marques","Khadis Ibragimov","Light Heavyweight",3,"U-DEC"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Colby Covington","Tyron Woodley","Welterweight",5,"KO/TKO"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Donald Cerrone","Niko Price","Welterweight",3,"Overturned"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Khamzat Chimaev","Gerald Meerschaert","Middleweight",1,"KO/TKO"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Johnny Walker","Ryan Spann","Light Heavyweight",1,"KO/TKO"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Mackenzie Dern","Randa Markos","Women's Strawweight",1,"SUB"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Kevin Holland","Darren Stewart","Middleweight",3,"S-DEC"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","David Dvorak","Jordan Espinosa","Flyweight",3,"U-DEC"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Damon Jackson","Mirsad Bektic","Featherweight",3,"SUB"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Mayra Bueno Silva","Mara Romero Borella","Women's Flyweight",1,"SUB"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Jessica-Rose Clark","Sarah Alpar","Women's Bantamweight",3,"KO/TKO"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Darrick Minner","TJ Laramie","Featherweight",1,"SUB"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Randy Costa","Journey Newson","Bantamweight",1,"KO/TKO"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Andre Ewell","Irwin Rivera","Bantamweight",3,"S-DEC"
2020-09-19,"UFC Fight Night: Covington vs. Woodley","Las Vegas","Nevada","USA","Tyson Nam","Jerome Rivera","Bantamweight",2,"KO/TKO"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Michelle Waterson","Angela Hill","Women's Strawweight",5,"S-DEC"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Ottman Azaitar","Khama Worthy","Lightweight",1,"KO/TKO"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Roxanne Modafferi","Andrea Lee","Women's Flyweight",3,"U-DEC"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Ed Herman","Mike Rodriguez","Light Heavyweight",3,"SUB"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Bobby Green","Alan Patrick","Lightweight",3,"U-DEC"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Billy Quarantillo","Kyle Nelson","Featherweight",3,"KO/TKO"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Sijara Eubanks","Julia Avila","Women's Bantamweight",3,"U-DEC"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Roosevelt Roberts","Kevin Croom","Lightweight",1,"Overturned"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Alexandr Romanov","Roque Martinez","Heavyweight",2,"SUB"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Jalin Turner","Brok Weaver","Catch Weight",2,"SUB"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Bryan Barberena","Anthony Ivy","Welterweight",3,"U-DEC"
2020-09-12,"UFC Fight Night: Waterson vs. Hill","Las Vegas","Nevada","USA","Sabina Mazo","Justine Kish","Women's Flyweight",3,"SUB"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Alistair Overeem","Augusto Sakai","Heavyweight",5,"KO/TKO"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Ovince Saint Preux","Alonzo Menifield","Light Heavyweight",2,"KO/TKO"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Michel Pereira","Zelim Imadaev","Welterweight",3,"SUB"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Andre Muniz","Bartosz Fabinski","Middleweight",1,"SUB"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Brian Kelleher","Ray Rodriguez","Featherweight",1,"SUB"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Viviane Araujo","Montana De La Rosa","Women's Flyweight",3,"U-DEC"
2020-09-05,"UFC Fight Night: Overeem vs. Sakai","Las Vegas","Nevada","USA","Hunter Azure","Cole Smith","Bantamweight",3,"U-DEC"
