"Events","Fighter1"
"UFC - The Ultimate Fighter 18 Finale","Jessamyn Duke"
"UFC - The Ultimate Fighter 18 Finale","Raquel Pennington"
"UFC - The Ultimate Fighter 18 Finale","Akira Corassani"
"UFC - The Ultimate Fighter 18 Finale","Tom Niinimaki"
"UFC - The Ultimate Fighter 18 Finale","Jared Rosholt"
"UFC - The Ultimate Fighter 18 Finale","Sean Spencer"
"UFC - The Ultimate Fighter 18 Finale","Josh Sampo"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Betting Tools"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Mark Hunt"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Mauricio Rua"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Ryan Bader"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Soa Palelei"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Clint Hester"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Bethe Correia"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Takeya Mizugaki"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Caio Magalhaes"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Justin Scoggins"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Krzysztof Jotko"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Alex Garcia"
"UFC 168 - Weidman vs. Silva 2","Betting Tools"
"UFC 168 - Weidman vs. Silva 2","Chris Weidman"
"UFC 168 - Weidman vs. Silva 2","Ronda Rousey"
"UFC 168 - Weidman vs. Silva 2","Travis Browne"
"UFC 168 - Weidman vs. Silva 2","Jim Miller"
"UFC 168 - Weidman vs. Silva 2","Dustin Poirier"
"UFC 168 - Weidman vs. Silva 2","Urijah Hall"
"UFC 168 - Weidman vs. Silva 2","Michael Johnson"
"UFC 168 - Weidman vs. Silva 2","Dennis Siver"
"UFC 168 - Weidman vs. Silva 2","John Howard"
"UFC 168 - Weidman vs. Silva 2","William Macario"
"UFC 168 - Weidman vs. Silva 2","Robbie Peralta"
"UFC Fight Night 34 - Saffiedine vs. Lim","Betting Tools"
"UFC Fight Night 34 - Saffiedine vs. Lim","Tarec Saffiedine"
"UFC Fight Night 34 - Saffiedine vs. Lim","Tatsuya Kawajiri"
"UFC Fight Night 34 - Saffiedine vs. Lim","Kiichi Kunimoto"
"UFC Fight Night 34 - Saffiedine vs. Lim","Kyung Ho Kang"
"UFC Fight Night 34 - Saffiedine vs. Lim","Max Holloway"
"UFC Fight Night 34 - Saffiedine vs. Lim","Katsunori Kikuno"
"UFC Fight Night 34 - Saffiedine vs. Lim","Royston Wee"
"UFC Fight Night 34 - Saffiedine vs. Lim","Mairbek Taisumov"
"UFC Fight Night 34 - Saffiedine vs. Lim","Dustin Kimura"
"UFC Fight Night 34 - Saffiedine vs. Lim","Russell Doane"
"UFC on Fox 10 - Henderson vs. Thomson","Betting Tools"
"UFC on Fox 10 - Henderson vs. Thomson","Benson Henderson"
"UFC on Fox 10 - Henderson vs. Thomson","Stipe Miocic"
"UFC on Fox 10 - Henderson vs. Thomson","Donald Cerrone"
"UFC on Fox 10 - Henderson vs. Thomson","Jeremy Stephens"
"UFC on Fox 10 - Henderson vs. Thomson","Alex Caceres"
"UFC on Fox 10 - Henderson vs. Thomson","Eddie Wineland"
"UFC on Fox 10 - Henderson vs. Thomson","Chico Camus"
"UFC on Fox 10 - Henderson vs. Thomson","Hugo Viana"
"UFC on Fox 10 - Henderson vs. Thomson","Daron Cruickshank"
"UFC on Fox 10 - Henderson vs. Thomson","George Sullivan"
"UFC on Fox 10 - Henderson vs. Thomson","Nikita Krylov"
"UFC 169 - Barao vs. Faber 2","Betting Tools"
"UFC 169 - Barao vs. Faber 2","Renan Barao"
"UFC 169 - Barao vs. Faber 2","Jose Aldo"
"UFC 169 - Barao vs. Faber 2","Alistair Overeem"
"UFC 169 - Barao vs. Faber 2","Ali Bagautinov"
"UFC 169 - Barao vs. Faber 2","Abel Trujillo"
"UFC 169 - Barao vs. Faber 2","Alan Patrick"
"UFC 169 - Barao vs. Faber 2","Chris Cariaso"
"UFC 169 - Barao vs. Faber 2","Nick Catone"
"UFC 169 - Barao vs. Faber 2","Al Iaquinta"
"UFC 169 - Barao vs. Faber 2","Clint Hester"
"UFC 169 - Barao vs. Faber 2","Rashid Magomedov"
"UFC 169 - Barao vs. Faber 2","Neil Magny"
"UFC Fight Night 36 - Machida vs. Mousasi","Betting Tools"
"UFC Fight Night 36 - Machida vs. Mousasi","Lyoto Machida"
"UFC Fight Night 36 - Machida vs. Mousasi","Ronaldo Souza"
"UFC Fight Night 36 - Machida vs. Mousasi","Erick Silva"
"UFC Fight Night 36 - Machida vs. Mousasi","Nico Musoke"
"UFC Fight Night 36 - Machida vs. Mousasi","Charles Oliveira"
"UFC Fight Night 36 - Machida vs. Mousasi","Joe Proctor"
"UFC Fight Night 36 - Machida vs. Mousasi","Rodrigo Damm"
"UFC Fight Night 36 - Machida vs. Mousasi","Francisco Trinaldo"
"UFC Fight Night 36 - Machida vs. Mousasi","Yuri Alcantara"
"UFC Fight Night 36 - Machida vs. Mousasi","Felipe Arantes"
"UFC Fight Night 36 - Machida vs. Mousasi","Ildemar Alcantara"
"UFC Fight Night 36 - Machida vs. Mousasi","Zubaira Tukhugov"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Betting Tools"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Dan Henderson"
"UFC Fight Night 38 - Shogun vs. Henderson 2","C.B. Dollaway"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Leonardo Santos"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Fabio Maldonado"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Michel Prazeres"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Rony Jason"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Thiago Santos"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Jussier Formiga"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Kenny Robertson"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Hans Stringer"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Godofredo Pepey"
"UFC - The Ultimate Fighter Nations Finale","Betting Tools"
"UFC - The Ultimate Fighter Nations Finale","Tim Kennedy"
"UFC - The Ultimate Fighter Nations Finale","Patrick Cote"
"UFC - The Ultimate Fighter Nations Finale","Elias Theodorou"
"UFC - The Ultimate Fighter Nations Finale","Chad Laprise"
"UFC - The Ultimate Fighter Nations Finale","Dustin Poirier"
"UFC - The Ultimate Fighter Nations Finale","K.J. Noons"
"UFC - The Ultimate Fighter Nations Finale","Sarah Kaufman"
"UFC - The Ultimate Fighter Nations Finale","Ryan Jimmo"
"UFC - The Ultimate Fighter Nations Finale","George Roop"
"UFC - The Ultimate Fighter Nations Finale","Mark Bocek"
"UFC - The Ultimate Fighter Nations Finale","Nordine Taleb"
"UFC - The Ultimate Fighter Nations Finale","Richard Walsh"
"UFC - The Ultimate Fighter Nations Finale","Mitch Gagnon"
"UFC on Fox 11 - Werdum vs. Browne","Betting Tools"
"UFC on Fox 11 - Werdum vs. Browne","Fabricio Werdum"
"UFC on Fox 11 - Werdum vs. Browne","Miesha Tate"
"UFC on Fox 11 - Werdum vs. Browne","Donald Cerrone"
"UFC on Fox 11 - Werdum vs. Browne","Yoel Romero"
"UFC on Fox 11 - Werdum vs. Browne","Khabib Nurmagomedov"
"UFC on Fox 11 - Werdum vs. Browne","Thiago Alves"
"UFC on Fox 11 - Werdum vs. Browne","Jorge Masvidal"
"UFC on Fox 11 - Werdum vs. Browne","Alex White"
"UFC on Fox 11 - Werdum vs. Browne","Caio Magalhaes"
"UFC on Fox 11 - Werdum vs. Browne","Jordan Mein"
"UFC on Fox 11 - Werdum vs. Browne","Dustin Ortiz"
"UFC on Fox 11 - Werdum vs. Browne","Mirsad Bektic"
"UFC on Fox 11 - Werdum vs. Browne","Derrick Lewis"
"UFC 172 - Jones vs. Teixeira","Betting Tools"
"UFC 172 - Jones vs. Teixeira","Jon Jones"
"UFC 172 - Jones vs. Teixeira","Anthony Johnson"
"UFC 172 - Jones vs. Teixeira","Luke Rockhold"
"UFC 172 - Jones vs. Teixeira","Jim Miller"
"UFC 172 - Jones vs. Teixeira","Max Holloway"
"UFC 172 - Jones vs. Teixeira","Joseph Benavidez"
"UFC 172 - Jones vs. Teixeira","Takanori Gomi"
"UFC 172 - Jones vs. Teixeira","Bethe Correia"
"UFC 172 - Jones vs. Teixeira","Danny Castillo"
"UFC 172 - Jones vs. Teixeira","Chris Beal"
"UFC Fight Night 40 - Brown vs. Silva","Betting Tools"
"UFC Fight Night 40 - Brown vs. Silva","Matt Brown"
"UFC Fight Night 40 - Brown vs. Silva","Costas Philippou"
"UFC Fight Night 40 - Brown vs. Silva","Daron Cruickshank"
"UFC Fight Night 40 - Brown vs. Silva","Neil Magny"
"UFC Fight Night 40 - Brown vs. Silva","Soa Palelei"
"UFC Fight Night 40 - Brown vs. Silva","Chris Cariaso"
"UFC Fight Night 40 - Brown vs. Silva","Ed Herman"
"UFC Fight Night 40 - Brown vs. Silva","Kyoji Horiguchi"
"UFC Fight Night 40 - Brown vs. Silva","Zak Cummings"
"UFC Fight Night 40 - Brown vs. Silva","Johnny Eduardo"
"UFC Fight Night 40 - Brown vs. Silva","Nik Lentz"
"UFC Fight Night 40 - Brown vs. Silva","Justin Salas"
"UFC Fight Night 40 - Brown vs. Silva","Albert Tumenov"
"UFC Fight Night 42 - Henderson vs. Khabilov","Betting Tools"
"UFC Fight Night 42 - Henderson vs. Khabilov","Benson Henderson"
"UFC Fight Night 42 - Henderson vs. Khabilov","Diego Sanchez"
"UFC Fight Night 42 - Henderson vs. Khabilov","John Dodson"
"UFC Fight Night 42 - Henderson vs. Khabilov","Rafael dos Anjos"
"UFC Fight Night 42 - Henderson vs. Khabilov","Piotr Hallmann"
"UFC Fight Night 42 - Henderson vs. Khabilov","Bryan Caraway"
"UFC Fight Night 42 - Henderson vs. Khabilov","Sergio Pettis"
"UFC Fight Night 42 - Henderson vs. Khabilov","Lance Benoist"
"UFC Fight Night 42 - Henderson vs. Khabilov","Scott Jorgensen"
"UFC Fight Night 42 - Henderson vs. Khabilov","Jon Tuck"
"UFC Fight Night 42 - Henderson vs. Khabilov","Patrick Cummins"
"UFC 174 - Johnson vs. Bagautinov","Betting Tools"
"UFC 174 - Johnson vs. Bagautinov","Demetrious Johnson"
"UFC 174 - Johnson vs. Bagautinov","Rory MacDonald"
"UFC 174 - Johnson vs. Bagautinov","Ryan Bader"
"UFC 174 - Johnson vs. Bagautinov","Andrei Arlovski"
"UFC 174 - Johnson vs. Bagautinov","Ovince St Preux"
"UFC 174 - Johnson vs. Bagautinov","Kiichi Kunimoto"
"UFC 174 - Johnson vs. Bagautinov","Valerie Letourneau"
"UFC 174 - Johnson vs. Bagautinov","Yves Jabouin"
"UFC 174 - Johnson vs. Bagautinov","Tae Hyun Bang"
"UFC 174 - Johnson vs. Bagautinov","Michinori Tanaka"
"UFC Fight Night 44 - Swanson vs. Stephens","Betting Tools"
"UFC Fight Night 44 - Swanson vs. Stephens","Cub Swanson"
"UFC Fight Night 44 - Swanson vs. Stephens","Kelvin Gastelum"
"UFC Fight Night 44 - Swanson vs. Stephens","Cezar Ferreira"
"UFC Fight Night 44 - Swanson vs. Stephens","Ricardo Lamas"
"UFC Fight Night 44 - Swanson vs. Stephens","Clint Hester"
"UFC Fight Night 44 - Swanson vs. Stephens","Carlos Diego Ferreira"
"UFC Fight Night 44 - Swanson vs. Stephens","Cody Gibson"
"UFC Fight Night 44 - Swanson vs. Stephens","Marcelo Guimaraes"
"UFC Fight Night 44 - Swanson vs. Stephens","Ray Borg"
"UFC Fight Night 44 - Swanson vs. Stephens","Aleksei Oleinik"
"UFC Fight Night 46 - McGregor vs. Brandao","Betting Tools"
"UFC Fight Night 46 - McGregor vs. Brandao","Conor McGregor"
"UFC Fight Night 46 - McGregor vs. Brandao","Gunnar Nelson"
"UFC Fight Night 46 - McGregor vs. Brandao","Ian McCall"
"UFC Fight Night 46 - McGregor vs. Brandao","Norman Parke"
"UFC Fight Night 46 - McGregor vs. Brandao","Ilir Latifi"
"UFC Fight Night 46 - McGregor vs. Brandao","Neil Seery"
"UFC Fight Night 46 - McGregor vs. Brandao","Cathal Pendred"
"UFC Fight Night 46 - McGregor vs. Brandao","Trevor Smith"
"UFC Fight Night 46 - McGregor vs. Brandao","Nikita Krylov"
"UFC Fight Night 46 - McGregor vs. Brandao","Patrick Holohan"
"UFC on Fox 12 - Lawler vs. Brown","Betting Tools"
