"Events","Fighter1"
"UFC - The Ultimate Fighter 20 Finale","Daron Cruickshank"
"UFC - The Ultimate Fighter 20 Finale","Yancy Medeiros"
"UFC - The Ultimate Fighter 20 Finale","Jessica Penne"
"UFC - The Ultimate Fighter 20 Finale","Felice Herrig"
"UFC - The Ultimate Fighter 20 Finale","Bec Rawlings"
"UFC - The Ultimate Fighter 20 Finale","Joanne Calderwood"
"UFC - The Ultimate Fighter 20 Finale","Tecia Torres"
"UFC - The Ultimate Fighter 20 Finale","Aisling Daly"
"UFC - The Ultimate Fighter 20 Finale","Emily Kagan"
"UFC on Fox 13 - Dos Santos vs. Miocic","Betting Tools"
"UFC on Fox 13 - Dos Santos vs. Miocic","Junior dos Santos"
"UFC on Fox 13 - Dos Santos vs. Miocic","Nate Diaz"
"UFC on Fox 13 - Dos Santos vs. Miocic","Alistair Overeem"
"UFC on Fox 13 - Dos Santos vs. Miocic","Matt Mitrione"
"UFC on Fox 13 - Dos Santos vs. Miocic","Claudia Gadelha"
"UFC on Fox 13 - Dos Santos vs. Miocic","Willie Gates"
"UFC on Fox 13 - Dos Santos vs. Miocic","Ben Saunders"
"UFC on Fox 13 - Dos Santos vs. Miocic","Jamie Varner"
"UFC on Fox 13 - Dos Santos vs. Miocic","David Michaud"
"UFC on Fox 13 - Dos Santos vs. Miocic","Henry Cejudo"
"UFC on Fox 13 - Dos Santos vs. Miocic","Ian Entwistle"
"UFC Fight Night - Machida vs. Dollaway","Betting Tools"
"UFC Fight Night - Machida vs. Dollaway","Lyoto Machida"
"UFC Fight Night - Machida vs. Dollaway","Renan Barao"
"UFC Fight Night - Machida vs. Dollaway","Patrick Cummins"
"UFC Fight Night - Machida vs. Dollaway","Rashid Magomedov"
"UFC Fight Night - Machida vs. Dollaway","Erick Silva"
"UFC Fight Night - Machida vs. Dollaway","Marcos Rogerio de Lima"
"UFC Fight Night - Machida vs. Dollaway","Tom Niinimaki"
"UFC Fight Night - Machida vs. Dollaway","Hacran Dias"
"UFC Fight Night - Machida vs. Dollaway","Leandro Issa"
"UFC Fight Night - Machida vs. Dollaway","Tim Means"
"UFC Fight Night - Machida vs. Dollaway","Jake Collier"
"UFC 182 - Jones vs. Cormier","Betting Tools"
"UFC 182 - Jones vs. Cormier","Jon Jones"
"UFC 182 - Jones vs. Cormier","Donald Cerrone"
"UFC 182 - Jones vs. Cormier","Nate Marquardt"
"UFC 182 - Jones vs. Cormier","Kyoji Horiguchi"
"UFC 182 - Jones vs. Cormier","Hector Lombard"
"UFC 182 - Jones vs. Cormier","Danny Castillo"
"UFC 182 - Jones vs. Cormier","Marcus Brimage"
"UFC 182 - Jones vs. Cormier","Shawn Jordan"
"UFC 182 - Jones vs. Cormier","Evan Dunham"
"UFC 182 - Jones vs. Cormier","Omari Akhmedov"
"UFC 182 - Jones vs. Cormier","Alexis Dufresne"
"UFC Fight Night - McGregor vs. Siver","Betting Tools"
"UFC Fight Night - McGregor vs. Siver","Conor McGregor"
"UFC Fight Night - McGregor vs. Siver","Donald Cerrone"
"UFC Fight Night - McGregor vs. Siver","Urijah Hall"
"UFC Fight Night - McGregor vs. Siver","Norman Parke"
"UFC Fight Night - McGregor vs. Siver","Cathal Pendred"
"UFC Fight Night - McGregor vs. Siver","John Howard"
"UFC Fight Night - McGregor vs. Siver","Zhang Lipeng"
"UFC Fight Night - McGregor vs. Siver","Patrick Holohan"
"UFC Fight Night - McGregor vs. Siver","Johnny Case"
"UFC Fight Night - McGregor vs. Siver","Charles Rosa"
"UFC Fight Night - McGregor vs. Siver","Sean O'Connell"
"UFC on Fox 14 - Gustafsson vs. Johnson","Betting Tools"
"UFC on Fox 14 - Gustafsson vs. Johnson","Alexander Gustafsson"
"UFC on Fox 14 - Gustafsson vs. Johnson","Gegard Mousasi"
"UFC on Fox 14 - Gustafsson vs. Johnson","Phil Davis"
"UFC on Fox 14 - Gustafsson vs. Johnson","Akira Corassani"
"UFC on Fox 14 - Gustafsson vs. Johnson","Nico Musoke"
"UFC on Fox 14 - Gustafsson vs. Johnson","Kenny Robertson"
"UFC on Fox 14 - Gustafsson vs. Johnson","Makwan Amirkhani"
"UFC on Fox 14 - Gustafsson vs. Johnson","Nikita Krylov"
"UFC on Fox 14 - Gustafsson vs. Johnson","Mirsad Bektic"
"UFC on Fox 14 - Gustafsson vs. Johnson","Chris Beal"
"UFC 183 - Silva vs. Diaz","Betting Tools"
"UFC 183 - Silva vs. Diaz","Anderson Silva"
"UFC 183 - Silva vs. Diaz","Tyron Woodley"
"UFC 183 - Silva vs. Diaz","Joe Lauzon"
"UFC 183 - Silva vs. Diaz","Tim Boetsch"
"UFC 183 - Silva vs. Diaz","Jordan Mein"
"UFC 183 - Silva vs. Diaz","Miesha Tate"
"UFC 183 - Silva vs. Diaz","Derek Brunson"
"UFC 183 - Silva vs. Diaz","Ian McCall"
"UFC 183 - Silva vs. Diaz","Tom Watson"
"UFC 183 - Silva vs. Diaz","Ildemar Alcantara"
"UFC 183 - Silva vs. Diaz","Andy Enz"
"UFC Fight Night - Henderson vs Thatch","Betting Tools"
"UFC Fight Night - Henderson vs Thatch","Benson Henderson"
"UFC Fight Night - Henderson vs Thatch","Max Holloway"
"UFC Fight Night - Henderson vs Thatch","Neil Magny"
"UFC Fight Night - Henderson vs Thatch","Patrick Walsh"
"UFC Fight Night - Henderson vs Thatch","Michel Prazeres"
"UFC Fight Night - Henderson vs Thatch","Chris Kelades"
"UFC Fight Night - Henderson vs Thatch","Efrain Escudero"
"UFC Fight Night - Henderson vs Thatch","Jim Alers"
"UFC Fight Night - Henderson vs Thatch","Tim Elliott"
"UFC Fight Night - Henderson vs Thatch","Cody Pfister"
"UFC Fight Night - Mir vs. Bigfoot","Betting Tools"
"UFC Fight Night - Mir vs. Bigfoot","Frank Mir"
"UFC Fight Night - Mir vs. Bigfoot","Edson Barboza"
"UFC Fight Night - Mir vs. Bigfoot","Cezar Ferreira"
"UFC Fight Night - Mir vs. Bigfoot","Rustam Khabilov"
"UFC Fight Night - Mir vs. Bigfoot","Yuri Alcantara"
"UFC Fight Night - Mir vs. Bigfoot","Santiago Ponzinibbio"
"UFC Fight Night - Mir vs. Bigfoot","Jessica Andrade"
"UFC Fight Night - Mir vs. Bigfoot","Matt Dwyer"
"UFC Fight Night - Mir vs. Bigfoot","Mike de la Torre"
"UFC Fight Night - Mir vs. Bigfoot","Cody Gibson"
"UFC Fight Night - Mir vs. Bigfoot","Ivan Jorge"
"UFC 184 - Rousey vs. Zingano","Betting Tools"
"UFC 184 - Rousey vs. Zingano","Ronda Rousey"
"UFC 184 - Rousey vs. Zingano","Holly Holm"
"UFC 184 - Rousey vs. Zingano","Josh Koscheck"
"UFC 184 - Rousey vs. Zingano","Alan Jouban"
"UFC 184 - Rousey vs. Zingano","Tony Ferguson"
"UFC 184 - Rousey vs. Zingano","Mark Munoz"
"UFC 184 - Rousey vs. Zingano","Norifumi Yamamoto"
"UFC 184 - Rousey vs. Zingano","Dhiego Lima"
"UFC 184 - Rousey vs. Zingano","Derrick Lewis"
"UFC 184 - Rousey vs. Zingano","James Krause"
"UFC 185 - Pettis vs. Dos Anjos","Betting Tools"
"UFC 185 - Pettis vs. Dos Anjos","Anthony Pettis"
"UFC 185 - Pettis vs. Dos Anjos","Carla Esparza"
"UFC 185 - Pettis vs. Dos Anjos","Johny Hendricks"
"UFC 185 - Pettis vs. Dos Anjos","Alistair Overeem"
"UFC 185 - Pettis vs. Dos Anjos","Henry Cejudo"
"UFC 185 - Pettis vs. Dos Anjos","Ross Pearson"
"UFC 185 - Pettis vs. Dos Anjos","Roger Narvaez"
"UFC 185 - Pettis vs. Dos Anjos","Daron Cruickshank"
"UFC 185 - Pettis vs. Dos Anjos","Jared Rosholt"
"UFC 185 - Pettis vs. Dos Anjos","Sergio Pettis"
"UFC 185 - Pettis vs. Dos Anjos","Joseph Duffy"
"UFC Fight Night - Maia vs. LaFlare","Betting Tools"
"UFC Fight Night - Maia vs. LaFlare","Demian Maia"
"UFC Fight Night - Maia vs. LaFlare","Erick Silva"
"UFC Fight Night - Maia vs. LaFlare","Tony Martin"
"UFC Fight Night - Maia vs. LaFlare","Amanda Nunes"
"UFC Fight Night - Maia vs. LaFlare","Alex Oliveira"
"UFC Fight Night - Maia vs. LaFlare","Andre Fili"
"UFC Fight Night - Maia vs. LaFlare","Akbarh Arreola"
"UFC Fight Night - Maia vs. LaFlare","Katsunori Kikuno"
"UFC Fight Night - Maia vs. LaFlare","Drew Dober"
"UFC Fight Night - Maia vs. LaFlare","Cain Carrizosa"
"UFC Fight Night - Maia vs. LaFlare","Christos Giagos"
"UFC Fight Night - Maia vs. LaFlare","Bentley Syler"
"UFC Fight Night - Mendes vs. Lamas","Betting Tools"
"UFC Fight Night - Mendes vs. Lamas","Chad Mendes"
"UFC Fight Night - Mendes vs. Lamas","Al Iaquinta"
"UFC Fight Night - Mendes vs. Lamas","Michael Chiesa"
"UFC Fight Night - Mendes vs. Lamas","Julianna Pena"
"UFC Fight Night - Mendes vs. Lamas","Clay Guida"
"UFC Fight Night - Mendes vs. Lamas","Dustin Poirier"
"UFC Fight Night - Mendes vs. Lamas","Lauren Murphy"
"UFC Fight Night - Mendes vs. Lamas","Gray Maynard"
"UFC Fight Night - Mendes vs. Lamas","Timothy Johnson"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Betting Tools"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Gabriel Gonzaga"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Jan Blachowicz"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Pawel Pawlak"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Joanne Calderwood"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Seth Baczynski"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Bartosz Fabinski"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Mickael Lebout"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Damian Stasiak"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Daniel Omielanczuk"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Marcin Bandel"
"UFC Fight Night - Gonzaga vs. Cro Cop 2","Taylor Lapilus"
"UFC on Fox 15 - Rockhold vs. Machida","Betting Tools"
"UFC on Fox 15 - Rockhold vs. Machida","Luke Rockhold"
"UFC on Fox 15 - Rockhold vs. Machida","Ronaldo Souza"
"UFC on Fox 15 - Rockhold vs. Machida","Cub Swanson"
"UFC on Fox 15 - Rockhold vs. Machida","Paige VanZant"
"UFC on Fox 15 - Rockhold vs. Machida","Jim Miller"
"UFC on Fox 15 - Rockhold vs. Machida","Ovince St Preux"
"UFC on Fox 15 - Rockhold vs. Machida","Corey Anderson"
"UFC on Fox 15 - Rockhold vs. Machida","Takeya Mizugaki"
"UFC on Fox 15 - Rockhold vs. Machida","Tim Means"
"UFC on Fox 15 - Rockhold vs. Machida","Diego Brandao"
"UFC on Fox 15 - Rockhold vs. Machida","Chris Dempsey"
"UFC 186 - Johnson vs. Horiguchi","Betting Tools"
"UFC 186 - Johnson vs. Horiguchi","Demetrious Johnson"
"UFC 186 - Johnson vs. Horiguchi","Quinton Jackson"
"UFC 186 - Johnson vs. Horiguchi","Michael Bisping"
"UFC 186 - Johnson vs. Horiguchi","Shane Campbell"
"UFC 186 - Johnson vs. Horiguchi","Thomas Almeida"
"UFC 186 - Johnson vs. Horiguchi","Patrick Cote"
"UFC 186 - Johnson vs. Horiguchi","Sarah Kaufman"
"UFC 186 - Johnson vs. Horiguchi","Chad Laprise"
"UFC 186 - Johnson vs. Horiguchi","Olivier Aubin-Mercier"
"UFC 186 - Johnson vs. Horiguchi","Nordine Taleb"
"UFC 186 - Johnson vs. Horiguchi","Jessica Rakoczy"
"UFC 186 - Johnson vs. Horiguchi","Randa Markos"
"UFC Fight Night - Hunt vs. Miocic","Betting Tools"
"UFC Fight Night - Hunt vs. Miocic","Mark Hunt"
"UFC Fight Night - Hunt vs. Miocic","Brad Tavares"
"UFC Fight Night - Hunt vs. Miocic","Anthony Perosh"
"UFC Fight Night - Hunt vs. Miocic","Jake Matthews"
"UFC Fight Night - Hunt vs. Miocic","Hatsu Hioki"
"UFC Fight Night - Hunt vs. Miocic","Kyle Noke"
"UFC Fight Night - Hunt vs. Miocic","Sam Alvey"
"UFC Fight Night - Hunt vs. Miocic","Lisa Ellis"
"UFC Fight Night - Hunt vs. Miocic","Dylan Andrews"
"UFC Fight Night - Hunt vs. Miocic","Alex Chambers"
"UFC Fight Night - Hunt vs. Miocic","Vik Grujic"
"UFC Fight Night - Hunt vs. Miocic","Alptekin Ozkilic"
"UFC Fight Night - Edgar vs. Faber","Betting Tools"
"UFC Fight Night - Edgar vs. Faber","Frankie Edgar"
"UFC Fight Night - Edgar vs. Faber","Gegard Mousasi"
"UFC Fight Night - Edgar vs. Faber","Mark Munoz"
"UFC Fight Night - Edgar vs. Faber","Neil Magny"
"UFC Fight Night - Edgar vs. Faber","Phillipe Nover"
"UFC Fight Night - Edgar vs. Faber","Mark Eddiva"
"UFC Fight Night - Edgar vs. Faber","Tae Hyun Bang"
"UFC Fight Night - Edgar vs. Faber","Kajan Johnson"
"UFC Fight Night - Edgar vs. Faber","Li Jingliang"
"UFC Fight Night - Edgar vs. Faber","Royston Wee"
"UFC Fight Night - Edgar vs. Faber","Jon delos Reyes"
"UFC 187 - Cormier vs. Johnson","Betting Tools"
"UFC 187 - Cormier vs. Johnson","Daniel Cormier"
"UFC 187 - Cormier vs. Johnson","Chris Weidman"
"UFC 187 - Cormier vs. Johnson","John Makdessi"
"UFC 187 - Cormier vs. Johnson","Andrei Arlovski"
"UFC 187 - Cormier vs. Johnson","Joseph Benavidez"
"UFC 187 - Cormier vs. Johnson","John Dodson"
"UFC 187 - Cormier vs. Johnson","Josh Burkman"
"UFC 187 - Cormier vs. Johnson","Urijah Hall"
"UFC 187 - Cormier vs. Johnson","Mike Pyle"
"UFC 187 - Cormier vs. Johnson","Justin Scoggins"
"UFC Fight Night - Condit vs. Alves","Betting Tools"
"UFC Fight Night - Condit vs. Alves","Carlos Condit"
"UFC Fight Night - Condit vs. Alves","Nik Lentz"
"UFC Fight Night - Condit vs. Alves","K.J. Noons"
"UFC Fight Night - Condit vs. Alves","Ryan Jimmo"
"UFC Fight Night - Condit vs. Alves","Francisco Trinaldo"
"UFC Fight Night - Condit vs. Alves","Rony Jason"
"UFC Fight Night - Condit vs. Alves","Jussier Formiga"
"UFC Fight Night - Condit vs. Alves","Nicolas Dalby"
"UFC Fight Night - Condit vs. Alves","Mirsad Bektic"
"UFC Fight Night - Condit vs. Alves","Juliana Lima"
"UFC Fight Night - Condit vs. Alves","Tom Breese"
"UFC Fight Night - Boetsch vs. Henderson","Betting Tools"
"UFC Fight Night - Boetsch vs. Henderson","Dan Henderson"
"UFC Fight Night - Boetsch vs. Henderson","Ben Rothwell"
"UFC Fight Night - Boetsch vs. Henderson","Dustin Poirier"
"UFC Fight Night - Boetsch vs. Henderson","Brian Ortega"
"UFC Fight Night - Boetsch vs. Henderson","Joe Soto"
"UFC Fight Night - Boetsch vs. Henderson","Alex Caceres"
"UFC Fight Night - Boetsch vs. Henderson","Derrick Lewis"
"UFC Fight Night - Boetsch vs. Henderson","Brian Ebersole"
"UFC Fight Night - Boetsch vs. Henderson","Christos Giagos"
"UFC Fight Night - Boetsch vs. Henderson","Joe Proctor"
"UFC Fight Night - Boetsch vs. Henderson","Ricardo Abreu"
"UFC 188 - Velasquez vs. Werdum","Betting Tools"
"UFC 188 - Velasquez vs. Werdum","Cain Velasquez"
"UFC 188 - Velasquez vs. Werdum","Gilbert Melendez"
"UFC 188 - Velasquez vs. Werdum","Kelvin Gastelum"
"UFC 188 - Velasquez vs. Werdum","Charles Rosa"
"UFC 188 - Velasquez vs. Werdum","Tecia Torres"
"UFC 188 - Velasquez vs. Werdum","Henry Cejudo"
"UFC 188 - Velasquez vs. Werdum","Efrain Escudero"
"UFC 188 - Velasquez vs. Werdum","Alejandro Perez"
"UFC 188 - Velasquez vs. Werdum","Cathal Pendred"
"UFC Fight Night - Jedrzejczyk vs. Penne","Betting Tools"
"UFC Fight Night - Jedrzejczyk vs. Penne","Joanna Jedrzejczyk"
"UFC Fight Night - Jedrzejczyk vs. Penne","Tatsuya Kawajiri"
"UFC Fight Night - Jedrzejczyk vs. Penne","Peter Sobotta"
"UFC Fight Night - Jedrzejczyk vs. Penne","Makwan Amirkhani"
"UFC Fight Night - Jedrzejczyk vs. Penne","Mairbek Taisumov"
"UFC Fight Night - Jedrzejczyk vs. Penne","Arnold Allen"
"UFC Fight Night - Jedrzejczyk vs. Penne","Niklas Backstrom"
"UFC Fight Night - Jedrzejczyk vs. Penne","Scott Askham"
"UFC Fight Night - Jedrzejczyk vs. Penne","Piotr Hallmann"
"UFC Fight Night - Jedrzejczyk vs. Penne","Taylor Lapilus"
"UFC Fight Night - Machida vs. Romero","Betting Tools"
"UFC Fight Night - Machida vs. Romero","Lyoto Machida"
"UFC Fight Night - Machida vs. Romero","Lorenz Larkin"
"UFC Fight Night - Machida vs. Romero","Eddie Gordon"
"UFC Fight Night - Machida vs. Romero","Steve Bosse"
"UFC Fight Night - Machida vs. Romero","Hacran Dias"
"UFC Fight Night - Machida vs. Romero","Alex Oliveira"
"UFC Fight Night - Machida vs. Romero","Leandro Silva"
"UFC Fight Night - Machida vs. Romero","Danny Martinez"
"UFC 189 - McGregor vs. Mendes","Betting Tools"
"UFC 189 - McGregor vs. Mendes","Conor McGregor"
"UFC 189 - McGregor vs. Mendes","Robbie Lawler"
"UFC 189 - McGregor vs. Mendes","Dennis Bermudez"
"UFC 189 - McGregor vs. Mendes","Gunnar Nelson"
"UFC 189 - McGregor vs. Mendes","Brad Pickett"
"UFC 189 - McGregor vs. Mendes","Matt Brown"
"UFC 189 - McGregor vs. Mendes","Alex Garcia"
"UFC 189 - McGregor vs. Mendes","Cathal Pendred"
"UFC 189 - McGregor vs. Mendes","Cody Garbrandt"
"UFC 189 - McGregor vs. Mendes","Neil Seery"
"UFC 189 - McGregor vs. Mendes","Yosdenis Cedeno"
"UFC - The Ultimate Fighter 21 Finale","Betting Tools"
"UFC - The Ultimate Fighter 21 Finale","Jake Ellenberger"
"UFC - The Ultimate Fighter 21 Finale","Michael Graves"
"UFC - The Ultimate Fighter 21 Finale","Jorge Masvidal"
"UFC - The Ultimate Fighter 21 Finale","Michelle Waterson"
"UFC - The Ultimate Fighter 21 Finale","Maximo Blanco"
"UFC - The Ultimate Fighter 21 Finale","Josh Samman"
"UFC - The Ultimate Fighter 21 Finale","Russell Doane"
"UFC - The Ultimate Fighter 21 Finale","Dan Miller"
"UFC - The Ultimate Fighter 21 Finale","George Sullivan"
"UFC - The Ultimate Fighter 21 Finale","Willie Gates"
"UFC Fight Night - Mir vs. Duffee","Betting Tools"
"UFC Fight Night - Mir vs. Duffee","Frank Mir"
"UFC Fight Night - Mir vs. Duffee","Josh Thomson"
"UFC Fight Night - Mir vs. Duffee","Holly Holm"
"UFC Fight Night - Mir vs. Duffee","Scott Jorgensen"
"UFC Fight Night - Mir vs. Duffee","Kevin Lee"
"UFC Fight Night - Mir vs. Duffee","Alan Jouban"
"UFC Fight Night - Mir vs. Duffee","Sam Sicilia"
"UFC Fight Night - Mir vs. Duffee","Jessica Andrade"
"UFC Fight Night - Mir vs. Duffee","Rani Yahya"
"UFC Fight Night - Mir vs. Duffee","Sean Strickland"
"UFC Fight Night - Mir vs. Duffee","Kevin Casey"
"UFC Fight Night - Mir vs. Duffee","Andrew Craig"
"UFC Fight Night - Bisping vs. Leites","Betting Tools"
"UFC Fight Night - Bisping vs. Leites","Michael Bisping"
"UFC Fight Night - Bisping vs. Leites","Ross Pearson"
"UFC Fight Night - Bisping vs. Leites","Joseph Duffy"
"UFC Fight Night - Bisping vs. Leites","Joanne Calderwood"
"UFC Fight Night - Bisping vs. Leites","Pawel Pawlak"
"UFC Fight Night - Bisping vs. Leites","Leonardo Mafra"
"UFC Fight Night - Bisping vs. Leites","Patrick Holohan"
"UFC Fight Night - Bisping vs. Leites","Ilir Latifi"
"UFC Fight Night - Bisping vs. Leites","Robert Whiteford"
"UFC Fight Night - Bisping vs. Leites","Jimmie Rivera"
"UFC Fight Night - Bisping vs. Leites","Daniel Omielanczuk"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Betting Tools"
"UFC on Fox 16 - Dillashaw vs. Barao 2","T.J. Dillashaw"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Miesha Tate"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Edson Barboza"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Joe Lauzon"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Gian Villante"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Jim Miller"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Ben Saunders"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Bryan Caraway"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Daron Cruickshank"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Jessamyn Duke"
"UFC on Fox 16 - Dillashaw vs. Barao 2","Zak Cummings"
"UFC 190 - Rousey vs. Correia","Betting Tools"
"UFC 190 - Rousey vs. Correia","Ronda Rousey"
"UFC 190 - Rousey vs. Correia","Mauricio Rua"
"UFC 190 - Rousey vs. Correia","Rodrigo Nogueira"
"UFC 190 - Rousey vs. Correia","Antonio Silva"
"UFC 190 - Rousey vs. Correia","Claudia Gadelha"
"UFC 190 - Rousey vs. Correia","Demian Maia"
"UFC 190 - Rousey vs. Correia","Rafael Cavalcante"
"UFC 190 - Rousey vs. Correia","Warlley Alves"
"UFC 190 - Rousey vs. Correia","Yuri Alcantara"
"UFC 190 - Rousey vs. Correia","Vitor Miranda"
"UFC 190 - Rousey vs. Correia","Hugo Viana"
"UFC Fight Night - St. Preux vs. Teixeira","Betting Tools"
"UFC Fight Night - St. Preux vs. Teixeira","Glover Teixeira"
"UFC Fight Night - St. Preux vs. Teixeira","Michael Johnson"
"UFC Fight Night - St. Preux vs. Teixeira","Sam Alvey"
"UFC Fight Night - St. Preux vs. Teixeira","Jared Rosholt"
"UFC Fight Night - St. Preux vs. Teixeira","Sara McMann"
"UFC Fight Night - St. Preux vs. Teixeira","Ray Borg"
"UFC Fight Night - St. Preux vs. Teixeira","Urijah Hall"
"UFC Fight Night - St. Preux vs. Teixeira","Chris Camozzi"
"UFC Fight Night - St. Preux vs. Teixeira","Willie Gates"
"UFC Fight Night - St. Preux vs. Teixeira","Frankie Saenz"
"UFC Fight Night - St. Preux vs. Teixeira","Chris Dempsey"
"UFC Fight Night 74 - Holloway vs. Oliveira","Betting Tools"
"UFC Fight Night 74 - Holloway vs. Oliveira","Max Holloway"
"UFC Fight Night 74 - Holloway vs. Oliveira","Erick Silva"
"UFC Fight Night 74 - Holloway vs. Oliveira","Josh Burkman"
"UFC Fight Night 74 - Holloway vs. Oliveira","Chad Laprise"
"UFC Fight Night 74 - Holloway vs. Oliveira","Olivier Aubin-Mercier"
"UFC Fight Night 74 - Holloway vs. Oliveira","Maryna Moroz"
"UFC Fight Night 74 - Holloway vs. Oliveira","Sam Stout"
"UFC Fight Night 74 - Holloway vs. Oliveira","Yves Jabouin"
"UFC Fight Night 74 - Holloway vs. Oliveira","Nikita Krylov"
"UFC Fight Night 74 - Holloway vs. Oliveira","Chris Beal"
"UFC Fight Night 74 - Holloway vs. Oliveira","Shane Campbell"
"UFC 191 - Johnson vs. Dodson 2","Betting Tools"
"UFC 191 - Johnson vs. Dodson 2","Demetrious Johnson"
"UFC 191 - Johnson vs. Dodson 2","Andrei Arlovski"
"UFC 191 - Johnson vs. Dodson 2","Anthony Johnson"
"UFC 191 - Johnson vs. Dodson 2","Corey Anderson"
"UFC 191 - Johnson vs. Dodson 2","Paige VanZant"
"UFC 191 - Johnson vs. Dodson 2","Paul Felder"
"UFC 191 - Johnson vs. Dodson 2","Francisco Rivera"
"UFC 191 - Johnson vs. Dodson 2","Jessica Andrade"
"UFC 191 - Johnson vs. Dodson 2","Joe Riggs"
"UFC Fight Night - Barnett vs. Nelson","Betting Tools"
"UFC Fight Night - Barnett vs. Nelson","Josh Barnett"
"UFC Fight Night - Barnett vs. Nelson","Gegard Mousasi"
"UFC Fight Night - Barnett vs. Nelson","Kyoji Horiguchi"
"UFC Fight Night - Barnett vs. Nelson","Takeya Mizugaki"
"UFC Fight Night - Barnett vs. Nelson","Mizuto Hirota"
"UFC Fight Night - Barnett vs. Nelson","Diego Brandao"
"UFC Fight Night - Barnett vs. Nelson","Keita Nakamura"
"UFC Fight Night - Barnett vs. Nelson","Nick Hein"
"UFC Fight Night - Barnett vs. Nelson","Naoyuki Kotani"
"UFC 192 - Cormier vs. Gustafsson","Betting Tools"
"UFC 192 - Cormier vs. Gustafsson","Daniel Cormier"
"UFC 192 - Cormier vs. Gustafsson","Ryan Bader"
"UFC 192 - Cormier vs. Gustafsson","Ruslan Magomedov"
"UFC 192 - Cormier vs. Gustafsson","Joseph Benavidez"
"UFC 192 - Cormier vs. Gustafsson","Julianna Pena"
"UFC 192 - Cormier vs. Gustafsson","Yair Rodriguez"
"UFC 192 - Cormier vs. Gustafsson","Alan Jouban"
"UFC 192 - Cormier vs. Gustafsson","Adriano Martins"
"UFC 192 - Cormier vs. Gustafsson","Angela Hill"
"UFC 192 - Cormier vs. Gustafsson","Sage Northcutt"
"UFC 192 - Cormier vs. Gustafsson","Sergio Pettis"
"UFC 192 - Cormier vs. Gustafsson","Derrick Lewis"
"UFC Fight Night 76 - Holohan vs. Smolka","Betting Tools"
"UFC Fight Night 76 - Holohan vs. Smolka","Patrick Holohan"
"UFC Fight Night 76 - Holohan vs. Smolka","Norman Parke"
"UFC Fight Night 76 - Holohan vs. Smolka","Nicolas Dalby"
"UFC Fight Night 76 - Holohan vs. Smolka","Jon delos Reyes"
"UFC Fight Night 76 - Holohan vs. Smolka","Stevie Ray"
"UFC Fight Night 76 - Holohan vs. Smolka","Aisling Daly"
"UFC Fight Night 76 - Holohan vs. Smolka","Scott Askham"
"UFC Fight Night 76 - Holohan vs. Smolka","Cathal Pendred"
"UFC Fight Night 76 - Holohan vs. Smolka","Darren Elkins"
"UFC Fight Night 76 - Holohan vs. Smolka","Garreth McLellan"
"UFC Fight Night 77: Belfort vs. Henderson 3","Betting Tools"
"UFC Fight Night 77: Belfort vs. Henderson 3","Vitor Belfort"
"UFC Fight Night 77: Belfort vs. Henderson 3","Glover Teixeira"
"UFC Fight Night 77: Belfort vs. Henderson 3","Thomas Almeida"
"UFC Fight Night 77: Belfort vs. Henderson 3","Alex Oliveira"
"UFC Fight Night 77: Belfort vs. Henderson 3","Gilbert Burns"
"UFC Fight Night 77: Belfort vs. Henderson 3","Fabio Maldonado"
"UFC Fight Night 77: Belfort vs. Henderson 3","Gleison Tibau"
"UFC Fight Night 77: Belfort vs. Henderson 3","Johnny Case"
"UFC Fight Night 77: Belfort vs. Henderson 3","Clay Guida"
"UFC Fight Night 77: Belfort vs. Henderson 3","Edmilson Souza"
"UFC Fight Night 77: Belfort vs. Henderson 3","Viscardi Andrade"
"UFC Fight Night 77: Belfort vs. Henderson 3","Pedro Munhoz"
"UFC 193 - Rousey vs. Holm","Betting Tools"
"UFC 193 - Rousey vs. Holm","Ronda Rousey"
"UFC 193 - Rousey vs. Holm","Joanna Jedrzejczyk"
"UFC 193 - Rousey vs. Holm","Mark Hunt"
"UFC 193 - Rousey vs. Holm","Urijah Hall"
"UFC 193 - Rousey vs. Holm","Jared Rosholt"
"UFC 193 - Rousey vs. Holm","Jake Matthews"
"UFC 193 - Rousey vs. Holm","Kyle Noke"
